Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_rate_12	prob_rate_13	prob_rate_21	prob_rate_23	prob_rate_31	prob_rate_32	rate_12	rate_13	rate_21	rate_23	rate_31	rate_32	rf[1]	rf[2]	rf[3]
127	1	-41.2636	-53.5554	12.2917	1	1	0	0	1	0	0	0	0.0009432624	0.004079839	0	0.0003937259	0.519375	0.449397	0.0312283
128	0	-36.3879	-54.1608	17.773	0	1	0	0	1	0	0.001577149	0	0.001465925	0.003594609	0	0.0002903863	0.126573	0.838054	0.0353737
129	1	-40.6851	-52.9993	12.3142	1	1	0	0	1	0	0	0	0.0009144233	0.004079839	0	0.0003937259	0.101014	0.805176	0.0938097
130	0	-35.8993	-54.1151	18.2158	1	0	0	0	1	0	0	0.0003725327	0.001558802	0.003908731	0	0.0005180915	0.56681	0.347573	0.0856166
131	1	-41.5783	-54.1449	12.5666	1	1	0	0	1	0	0	0	0.000621488	0.004079839	0	0.0003616999	0.545046	0.407479	0.0474747
132	0	-42.7506	-55.0164	12.2658	1	1	0	0	1	0	0	0	0.001558802	0.003082663	0	0.0008087777	0.56681	0.347573	0.0856166
133	1	-41.7134	-53.6249	11.9114	1	1	0	0	1	0	0	0	0.0009912562	0.004553339	0	0.0003616999	0.454291	0.33963	0.20608
134	0	-30.1001	-54.7132	24.613	0	0	0	0	1	0	0.0005426791	0.0004157434	0.001668644	0.00339665	0	0.0006666749	0.357604	0.515431	0.126965
135	1	-36.6911	-53.8199	17.1288	0	1	0	0	1	0	0.0001960487	0	0.001267382	0.006050286	0	0.0002434466	0.475501	0.341695	0.182804
136	0	-31.7208	-55.1749	23.454	0	0	0	0	1	0	0.001254644	0.0002833295	0.002083275	0.004247211	0	0.0003136185	0.5395	0.268955	0.191546
137	1	-41.7026	-53.8546	12.152	1	1	0	0	1	0	0	0	0.001119206	0.004319822	0	0.0001576044	0.587236	0.30707	0.105694
138	0	-28.9809	-55.0605	26.0796	0	0	0	0	1	0	0.0005840311	1.896373e-05	0.0013896	0.002466282	0	0.0003440258	0.154068	0.735436	0.110496
139	1	-40.9316	-53.8585	12.9269	1	1	0	0	1	0	0	0	0.0007579534	0.003691201	0	0.0001502101	0.213088	0.606777	0.180135
140	0	-35.8633	-53.252	17.3886	0	1	0	0	1	0	0.0004824561	0	0.001854118	0.004755942	0	0.0003301699	0.248886	0.727011	0.024103
141	1	-29.5187	-54.6484	25.1297	0	0	0	0	1	0	0.001076995	8.971052e-05	0.0007798416	0.003691201	0	0.0003876768	0.426901	0.525246	0.0478526
142	0	-29.1319	-54.2506	25.1188	1	0	0	0	0	0	0	0.0003688535	0.002043913	0.003387469	1.887697e-05	0.0002203928	0.383897	0.557092	0.0590115
143	1	-34.4017	-54.026	19.6243	1	0	0	0	1	0	0	0.0001270624	0.0009763168	0.003137903	0	0.0003040093	0.254047	0.581758	0.164195
144	0	-39.6503	-59.2205	19.5701	1	0	0	0	1	0	0	0.001115493	0.002021739	0.001308648	0	0.0001691571	0.293997	0.664062	0.0419405
145	1	-35.4086	-55.2758	19.8672	1	1	0	0	0	0	0	0	0.000587008	0.003137903	0.0002506662	0.0002570837	0.120812	0.662219	0.216968
146	0	-40.5271	-59.8706	19.3435	1	0	0	0	1	0	0	0.0008029516	0.002651886	0.001308648	0	0.0001431929	0.279104	0.630423	0.0904737
147	1	-40.9477	-53.2899	12.3423	1	1	0	0	1	0	0	0	0.0007417952	0.004352946	0	0.0002570837	0.120812	0.662219	0.216968
148	0	-39.7961	-58.9353	19.1392	1	0	0	0	1	0	0	0.0008374013	0.00266167	0.001391713	0	0.0002788428	0.207915	0.692677	0.099408
149	1	-41.0305	-53.6564	12.6259	1	1	0	0	1	0	0	0	0.0007417952	0.003873277	0	0.0003716899	0.104998	0.575536	0.319466
150	0	-46.1255	-59.0303	12.9048	1	1	0	0	1	0	0	0	0.002849302	0.001321485	0	0.0004570016	0.207915	0.692677	0.099408
151	1	-41.1128	-53.914	12.8012	1	1	0	0	1	0	0	0	0.0008034362	0.003490027	0	0.0004676809	0.104998	0.575536	0.319466
152	0	-39.373	-60.0021	20.6291	1	0	0	0	1	0	0	0.0005202288	0.001200781	0.001321485	0	0.000209583	0.555956	0.178231	0.265813
153	1	-41.3426	-53.8589	12.5164	1	1	0	0	1	0	0	0	0.001107972	0.003490027	0	0.000529694	0.12391	0.499083	0.377007
154	0	-42.8835	-61.8719	18.9883	0	1	0	0	1	0	0.002690163	0	0.001200781	0.001321485	0	0.0001514162	0.374956	0.218892	0.406151
155	1	-41.59	-52.9907	11.4007	1	1	0	0	1	0	0	0	0.001237938	0.004880047	0	0.0004456142	0.0986317	0.601274	0.300095
156	0	-33.8807	-59.7084	25.8277	0	0	0	0	1	0	0.001199868	0.001038695	0.001200781	0.00154187	0	0.0001458891	0.314902	0.312961	0.372137
157	1	-42.6774	-53.6771	10.9996	1	1	0	0	1	0	0	0	0.001968488	0.004880047	0	0.0002313135	0.123058	0.378612	0.498329
158	0	-37.673	-57.9919	20.3189	1	0	0	0	1	0	0	0.000476955	0.001411241	0.00154187	0	0.0002212119	0.346604	0.468718	0.184678
159	1	-30.8815	-55.5437	24.6622	1	0	0	0	0	0	0	0.0005521195	0.001479584	0.003933564	0.0004166539	0.0002452194	0.205037	0.376206	0.418757
160	0	-43.1462	-57.0496	13.9034	1	1	0	0	1	0	0	0	0.001411241	0.001704216	0	0.0002271088	0.270533	0.57538	0.154086
161	1	-33.5339	-56.539	23.0052	1	0	0	0	0	0	0	0.0003880404	0.001981873	0.005692491	0.0004988027	0.0001985719	0.122832	0.220328	0.65684
162	0	-42.0417	-55.3312	13.2895	1	1	0	0	1	0	0	0	0.001645624	0.002244748	0	0.0002422644	0.140182	0.678197	0.181621
