Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
2180	-438.96	-423.054	-15.9058	376184	7.241308	0.997928	0.99947	1.00053	1.00207	3.867303
2190	-445.196	-427.147	-18.0496	443351.5	9.334514	0.998092	0.999512	1.00049	1.00191	4.082565
2200	-438.775	-425.678	-13.0966	365225.2	7.294074	0.997897	0.999462	1.00054	1.0021	3.485592
2210	-439.209	-421.318	-17.8911	174952.5	6.49894	0.996963	0.999222	1.00077	1.00304	4.088165
2220	-441.627	-426.486	-15.1405	889527.5	6.002684	0.998653	0.999655	1.00034	1.00135	3.547756
2230	-442.448	-417.454	-24.9945	210512.5	5.309577	0.997231	0.999291	1.00071	1.00277	5.130307
2240	-430.03	-415.92	-14.1099	493594.1	7.018802	0.998191	0.999537	1.00046	1.00181	3.593631
2250	-427.021	-415.738	-11.2824	786157.3	8.796684	0.998567	0.999633	1.00037	1.00143	3.352483
2260	-436.48	-419.649	-16.8313	760291	8.882877	0.998543	0.999627	1.00037	1.00146	3.978907
2270	-429.614	-418.418	-11.1961	515895.3	13.06344	0.998231	0.999547	1.00045	1.00177	3.184511
2280	-429.262	-413.668	-15.5944	95483.95	10.86305	0.995889	0.998946	1.00105	1.00412	3.714626
2290	-426.844	-416.121	-10.7226	256606.2	8.499189	0.997492	0.999358	1.00064	1.00251	3.277382
2300	-434.643	-421.596	-13.0472	479521.1	6.989472	0.998165	0.999531	1.00047	1.00184	3.437741
2310	-427.101	-413.323	-13.7777	744246.5	11.97942	0.998527	0.999623	1.00038	1.00147	3.467649
2320	-439.003	-424.436	-14.5674	509867.8	8.755525	0.99822	0.999545	1.00045	1.00178	3.726697
2330	-438.535	-428.122	-10.4138	920590	8.363266	0.998676	0.999661	1.00034	1.00133	3.233359
2340	-433.751	-421.272	-12.4797	531207	11.29265	0.998257	0.999554	1.00044	1.00174	3.403227
2350	-430.603	-417.857	-12.7463	942053.6	13.01364	0.998691	0.999665	1.00033	1.00131	3.306897
2360	-437.767	-419.83	-17.9377	635703.8	7.217373	0.998406	0.999592	1.00041	1.00159	4.147177
2370	-444.209	-428.472	-15.7367	125442.8	10.34754	0.996413	0.999081	1.00091	1.00359	3.768351
2380	-431.966	-423.189	-8.77696	58515.69	11.24117	0.99475	0.998653	1.00134	1.00526	3.076927
2390	-435.072	-422.069	-13.0024	296851.3	7.053331	0.997668	0.999403	1.00059	1.00233	3.441002
2400	-447.074	-429.67	-17.4039	717769.1	8.260706	0.9985	0.999616	1.00038	1.0015	4.072883
2410	-433.464	-415.306	-18.1577	961254.1	9.001302	0.998704	0.999669	1.00033	1.0013	4.11984
2420	-456.15	-429.717	-26.4333	125344.4	6.982528	0.996412	0.999081	1.00091	1.00359	5.35374
2430	-437.737	-422.805	-14.9315	546753.4	9.537394	0.998281	0.99956	1.00044	1.00172	3.738928
2440	-436.108	-421.516	-14.592	984282.9	8.509552	0.998719	0.999672	1.00033	1.00128	3.732581
2450	-436.903	-424.623	-12.2797	902693.1	8.044332	0.998662	0.999658	1.00034	1.00134	3.441929
2460	-431.145	-419.499	-11.6463	946407.3	8.454815	0.998694	0.999666	1.00033	1.00131	3.384448
2470	-428.581	-414.08	-14.5006	205744.2	7.431592	0.997199	0.999283	1.00071	1.0028	3.689255
2480	-430.965	-423.57	-7.39476	812570.9	9.773138	0.99859	0.999639	1.00036	1.00141	2.955189
2490	-429.947	-415.564	-14.3826	121110.6	7.88054	0.99635	0.999065	1.00093	1.00365	3.698328
2500	-437.159	-418.844	-18.3151	738299.5	6.684628	0.998521	0.999622	1.00038	1.00148	4.17154
2510	-433.301	-419.524	-13.7767	356349.7	9.523102	0.997871	0.999455	1.00054	1.00213	3.618377
2520	-428.052	-414.833	-13.2195	596229.4	7.911392	0.998354	0.999579	1.00042	1.00165	3.55242
2530	-431.768	-416.953	-14.8149	510903.3	9.764194	0.998222	0.999545	1.00045	1.00178	3.714923
