Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu_morpho
340	0	-61.6533	-61.6518	-0.00150185	0.001501849
341	1	-63.2272	-63.224	-0.00311901	0.003119011
342	0	-61.5946	-61.5931	-0.0015378	0.001537799
343	1	-63.2272	-63.224	-0.00311901	0.003119011
344	0	-61.4523	-61.4501	-0.00214346	0.00214346
345	1	-62.2019	-62.1993	-0.00267212	0.002672122
346	0	-62.1201	-62.1174	-0.0026293	0.002629296
347	1	-61.367	-61.3652	-0.00177953	0.001779532
348	0	-61.3651	-61.3631	-0.00199434	0.001994341
349	1	-62.702	-62.699	-0.00290589	0.002905886
350	0	-62.7125	-62.7095	-0.00291041	0.002910409
351	1	-61.3902	-61.3885	-0.00173318	0.001733176
352	0	-62.3557	-62.353	-0.00274849	0.002748495
353	1	-61.3993	-61.3976	-0.0017187	0.001718705
354	0	-61.3563	-61.3543	-0.00196649	0.001966487
355	1	-61.3993	-61.3976	-0.0017187	0.001718705
356	0	-61.5272	-61.5256	-0.00158578	0.001585782
357	1	-61.6827	-61.6812	-0.0014853	0.001485301
358	0	-61.5424	-61.5402	-0.0022406	0.002240604
359	1	-61.3503	-61.3485	-0.00183556	0.001835564
360	0	-61.6169	-61.6146	-0.00230631	0.002306312
361	1	-62.6494	-62.6465	-0.00288306	0.002883061
362	0	-61.6169	-61.6146	-0.00230631	0.002306312
363	1	-61.353	-61.3512	-0.001823	0.001822999
364	0	-61.6174	-61.6159	-0.00152332	0.001523321
365	1	-62.0896	-62.0883	-0.00131339	0.001313386
366	0	-61.7519	-61.7504	-0.00144949	0.001449489
367	1	-61.4341	-61.4319	-0.00211971	0.002119712
368	0	-61.7519	-61.7504	-0.00144949	0.001449489
369	1	-61.3455	-61.3436	-0.0018881	0.001888103
370	0	-61.3458	-61.3439	-0.00187427	0.001874271
371	1	-61.353	-61.3511	-0.00195335	0.001953354
372	0	-61.371	-61.369	-0.0020098	0.002009805
373	1	-61.6432	-61.6409	-0.00232762	0.002327619
374	0	-61.4912	-61.489	-0.0021887	0.002188704
375	1	-61.9235	-61.921	-0.00251834	0.002518337
376	0	-61.6431	-61.6416	-0.00150777	0.001507769
377	1	-61.3632	-61.3612	-0.00198895	0.001988945
378	0	-61.9504	-61.949	-0.00136361	0.001363611
379	1	-61.4257	-61.4236	-0.002108	0.002108004
380	0	-61.9504	-61.949	-0.00136361	0.001363611
381	1	-61.4515	-61.4493	-0.00214244	0.002142445
382	0	-62.1688	-62.1675	-0.00128747	0.001287468
383	1	-61.4833	-61.4817	-0.00162265	0.001622648
384	0	-62.1251	-62.1238	-0.00130158	0.001301577
385	1	-62.5778	-62.5766	-0.00117439	0.001174394
386	0	-61.3463	-61.3444	-0.00190936	0.001909362
387	1	-61.3471	-61.3452	-0.00191826	0.001918258
388	0	-61.9194	-61.918	-0.00137573	0.001375731
389	1	-61.7798	-61.7784	-0.00143606	0.001436062
390	0	-61.5562	-61.5546	-0.00156409	0.00156409
391	1	-61.3482	-61.3464	-0.001848	0.001848002
392	0	-61.4508	-61.4487	-0.00214168	0.00214168
393	1	-61.3492	-61.3473	-0.00193379	0.001933789
394	0	-61.7859	-61.7835	-0.00243124	0.002431237
395	1	-61.3492	-61.3473	-0.00193379	0.001933789
396	0	-61.9969	-61.9943	-0.00256131	0.00256131
397	1	-61.3703	-61.3685	-0.00177171	0.001771714
398	0	-61.3648	-61.363	-0.00178497	0.001784974
399	1	-61.3484	-61.3465	-0.00184708	0.001847081
400	0	-61.3553	-61.3533	-0.00196273	0.001962733
401	1	-61.3722	-61.3702	-0.00201265	0.002012647
402	0	-63.1753	-63.1742	-0.0010485	0.001048496
403	1	-61.6864	-61.6841	-0.00236087	0.002360869
404	0	-63.1601	-63.159	-0.0010513	0.001051299
405	1	-61.6864	-61.6841	-0.00236087	0.002360869
406	0	-61.7058	-61.7044	-0.00147287	0.00147287
407	1	-61.631	-61.6295	-0.00151496	0.001514958
408	0	-61.3455	-61.3437	-0.00188094	0.001880942
409	1	-61.346	-61.3441	-0.00190495	0.001904951
410	0	-61.3455	-61.3437	-0.00188094	0.001880942
411	1	-61.346	-61.3441	-0.00190495	0.001904951
412	0	-61.7402	-61.7378	-0.00239984	0.00239984
413	1	-61.7616	-61.7602	-0.00144474	0.001444742
414	0	-61.3637	-61.3619	-0.00178796	0.001787963
415	1	-61.419	-61.4173	-0.00169138	0.001691376
416	0	-61.3963	-61.3946	-0.00172335	0.001723352
417	1	-61.419	-61.4173	-0.00169138	0.001691376
418	0	-61.7304	-61.728	-0.00239291	0.002392914
419	1	-62.2216	-62.2204	-0.00127103	0.001271032
420	0	-61.3457	-61.3439	-0.00187508	0.001875083
421	1	-61.6091	-61.6076	-0.00152849	0.001528493
422	0	-61.3457	-61.3439	-0.00187508	0.001875083
423	1	-61.3553	-61.3535	-0.00181389	0.00181389
424	0	-61.4883	-61.4861	-0.00218551	0.002185513
425	1	-61.3553	-61.3535	-0.00181389	0.00181389
426	0	-62.3062	-62.3049	-0.00124602	0.001246022
427	1	-61.3553	-61.3535	-0.00181389	0.00181389
428	0	-61.6445	-61.6422	-0.00232865	0.002328647
429	1	-61.3553	-61.3535	-0.00181389	0.00181389
430	0	-61.606	-61.6045	-0.00153048	0.001530476
431	1	-61.3811	-61.3791	-0.00203259	0.00203259
432	0	-62.0618	-62.0605	-0.00132291	0.001322907
433	1	-61.7209	-61.7186	-0.00238616	0.002386159
434	0	-62.2686	-62.2674	-0.00125694	0.001256943
435	1	-61.7898	-61.7874	-0.00243386	0.002433862
436	0	-62.2686	-62.2674	-0.00125694	0.001256943
