Iteration	Posterior	Likelihood	Prior	rate_12	rate_13	rate_21	rate_23	rate_31	rate_32	rf[1]	rf[2]	rf[3]
107	-23.6199	-60.0712	36.4513	0.0003276374	0.001479013	0.000107977	0.002929889	9.088001e-05	0.0004370913	0.496706	0.462013	0.0412808
108	-24.6291	-59.8821	35.253	0.0002245527	0.001427949	0.000107977	0.004781285	0.0001256215	0.0002473717	0.778373	0.156938	0.0646899
109	-24.8328	-60.7063	35.8735	0.0002330097	0.001539153	6.866586e-05	0.003784238	0.0001135681	0.0003775393	0.66962	0.274729	0.0556515
110	-24.5587	-60.078	35.5193	0.0002330097	0.001539153	9.320691e-05	0.003784238	0.0002163454	0.0007060311	0.592276	0.330598	0.0771261
111	-25.9634	-60.7923	34.8289	0.0002330097	0.002230843	8.957964e-05	0.004174465	0.0002248758	0.0005077933	0.655649	0.186105	0.158247
112	-24.9157	-59.7044	34.7887	0.0001822833	0.002230843	0.000151584	0.004174465	0.000177496	0.0005956329	0.741018	0.210337	0.0486458
113	-23.7201	-58.589	34.8689	0.0001675766	0.002236607	0.000151584	0.004174465	0.0002122477	0.0004666193	0.155747	0.570993	0.27326
114	-23.3844	-58.868	35.4836	0.0001129761	0.001427746	0.0001844139	0.003899465	0.0003250299	0.0006683486	0.263053	0.26116	0.475788
115	-22.8519	-58.2943	35.4423	8.057363e-05	0.001310889	0.0003791194	0.004087919	0.0001985495	0.0006140599	0.214344	0.0713848	0.714271
116	-25.0358	-58.8435	33.8077	8.621336e-05	0.001310889	0.0004322842	0.005996583	0.0004261361	0.0005228722	0.176392	0.0587454	0.764863
117	-26.5095	-59.3599	32.8504	0.0001346995	0.002027474	0.000342971	0.006467154	0.0005236257	0.0005110653	0.385029	0.128229	0.486742
118	-30.59	-61.5151	30.9251	0.0003018148	0.002737966	0.000271091	0.008015	0.0005236257	0.0006354432	0.332153	0.11062	0.557228
119	-24.8885	-58.0278	33.1393	0.0004601447	0.003032956	0.0003689297	0.004990426	0.0002959588	0.0004868064	0.444404	0.415103	0.140494
120	-23.7158	-58.3606	34.6448	0.0004061788	0.002914808	0.0003689297	0.003084042	0.0002857772	0.0006377922	0.059388	0.702759	0.237853
121	-23.5755	-56.855	33.2794	0.0004747925	0.003314585	0.0008835818	0.003858315	0.0002857772	0.0006377922	0.0650379	0.698538	0.236424
122	-22.6178	-56.636	34.0183	0.0003336018	0.002213497	0.001447522	0.003465121	0.0003203159	0.0007238713	0.103925	0.530209	0.365865
123	-23.5981	-59.0323	35.4342	0.0005730189	0.001139134	0.001190096	0.002087525	0.0006156807	0.001076101	0.203553	0.471259	0.325188
124	-26.3032	-60.9825	34.6794	0.0007289645	0.0005109869	0.002086404	0.00228388	0.0009667281	0.001076101	0.383039	0.00503394	0.611927
125	-29.9957	-63.3077	33.312	0.0002830018	0.0005152762	0.003661771	0.00290999	0.0009667281	0.001076101	0.753991	0.0364966	0.209512
126	-24.2601	-58.9272	34.6671	0.0002830018	0.000418465	0.002395743	0.002882672	0.0002512227	0.001437764	0.549836	0.0266145	0.423549
127	-25.4217	-59.5849	34.1632	0.0001662303	0.0008745225	0.002894593	0.002562363	0.0003819242	0.001437764	0.385339	0.0185233	0.596138
128	-25.1573	-60.0473	34.8899	0.000190226	0.001361058	0.002354718	0.002562363	0.0002796227	0.0006340391	0.218158	0.0104869	0.771355
129	-24.3909	-59.4436	35.0527	0.0002424013	0.001233105	0.002084364	0.002562363	0.0002796227	0.0007706609	0.218158	0.0104869	0.771355
130	-22.7763	-58.5048	35.7285	0.0006887365	0.0009039932	0.001707899	0.001639658	0.0002796227	0.001082856	0.0828728	0.0015303	0.915597
131	-23.3416	-58.7177	35.3762	0.0008113595	0.0009418572	0.001723329	0.001639658	0.0004479441	0.001192091	0.0828219	0.00214264	0.915035
132	-24.9922	-59.3197	34.3275	0.001232909	0.001347293	0.00228593	0.001639658	0.0003262568	0.001273888	0.0828219	0.00214264	0.915035
133	-25.2266	-59.2311	34.0045	0.00171887	0.001103203	0.0009368578	0.003284178	0.0002046364	0.001273888	0.0825709	0.00516712	0.912262
134	-24.3082	-58.7845	34.4764	0.001353253	0.001103203	0.001396524	0.00225202	0.0002915691	0.001517764	0.255063	0.00419562	0.740741
135	-24.544	-59.23	34.686	0.001411687	0.0008329955	0.001760047	0.002123139	0.0003621327	0.001154471	0.255063	0.00419562	0.740741
136	-25.9844	-61.4995	35.5151	0.001182571	0.0008260349	0.00175872	0.00110392	0.0005517059	0.001154471	0.894617	0.0137101	0.0916733
137	-23.1293	-59.8444	36.7151	0.001182571	0.0007624906	0.0006302777	0.00110392	0.0004297946	0.000923883	0.0619434	0.434118	0.503939
138	-23.6562	-59.9898	36.3336	0.001715778	0.0007624906	0.0006302777	0.001049737	0.0004418648	0.000923883	0.0826876	0.24461	0.672703
139	-23.3699	-58.3623	34.9924	0.0009819743	0.0006155751	0.0007679426	0.003338903	0.0005452927	0.001000475	0.18003	0.218652	0.601317
140	-21.6746	-57.1177	35.4431	0.0005517271	0.0004946545	0.0007679426	0.003688593	0.0004343227	0.0007328624	0.185695	0.225532	0.588773
141	-22.9014	-57.6682	34.7668	0.0006278087	0.0009493243	0.0009669207	0.003565469	0.0004343227	0.0009966355	0.024265	0.222192	0.753543
142	-25.3377	-59.1023	33.7646	0.0002893796	0.0007938137	0.0006571771	0.005057748	0.0006052938	0.001426927	0.0151718	0.125283	0.859546
143	-23.5092	-57.0845	33.5752	0.0004968813	0.0008805456	0.001282453	0.005057748	0.000368851	0.0009876599	0.0117092	0.215666	0.772625
144	-24.2539	-58.4785	34.2246	0.0004607356	0.0012872	0.001282453	0.003345561	0.0005247303	0.001337648	0.0258276	0.205858	0.768315
145	-24.5311	-58.8263	34.2952	0.0003068937	0.002075738	0.00116662	0.002706909	0.0002600684	0.001631199	0.448542	0.237996	0.313462
146	-23.0937	-57.7912	34.6975	0.0002931808	0.0009807465	0.001705108	0.002879881	0.0002978088	0.001473043	0.23439	0.347846	0.417764
147	-23.4836	-57.6699	34.1863	0.0004902299	0.0009807465	0.002558736	0.002895732	0.000202351	0.001159799	0.386434	0.459026	0.15454
148	-22.3664	-57.3363	34.9699	0.0004071375	0.0009549847	0.001697157	0.002858116	0.0002019062	0.001159799	0.489876	0.314216	0.195908
149	-22.2422	-56.3514	34.1092	0.0002578189	0.001553938	0.0009807091	0.004110636	0.0003240174	0.001159799	0.093983	0.877531	0.0284862
150	-21.8608	-57.6158	35.755	0.0003327738	0.0009188141	0.0006786794	0.002629956	0.0003191364	0.001389333	0.093983	0.877531	0.0284862
151	-21.187	-57.1132	35.9262	0.0004008326	0.0007178969	0.0006786794	0.002729925	0.0002985137	0.00122247	0.067888	0.880135	0.0519765
152	-21.8031	-58.184	36.3808	0.0002769737	0.0006014491	0.0009164383	0.001754166	0.0003452186	0.001568957	0.337082	0.40484	0.258078
153	-21.294	-57.3601	36.0662	0.0004849592	0.0006492213	0.0009164383	0.001567038	0.0002874655	0.001963074	0.0369428	0.111232	0.851825
154	-25.0632	-59.7843	34.7211	0.0001898976	0.0006492213	0.001025526	0.001567038	0.0009502465	0.003217428	0.0931577	0.280491	0.626351
155	-27.0472	-61.2838	34.2366	0.0001898976	0.001068104	0.001399677	0.001796709	0.001340275	0.00242827	0.390731	0.18845	0.420819
156	-25.1221	-60.9489	35.8268	0.000134547	0.001068104	0.0005880403	0.001196457	0.001642977	0.001546154	0.390731	0.18845	0.420819
157	-25.1499	-60.9558	35.806	0.0001871514	0.001152198	0.0003297874	0.001184548	0.00174402	0.001605372	0.0830742	0.523935	0.39299
158	-23.0648	-58.9417	35.877	0.0001871514	0.0007098018	0.0002989969	0.0009754654	0.001609109	0.002331145	0.158079	0.0941121	0.747809
159	-24.8586	-60.2616	35.403	0.0002232443	0.0006530546	0.0003155099	0.00151749	0.001609109	0.002403335	0.381785	0.227295	0.390921
160	-25.2359	-60.4264	35.1905	0.0003022337	0.0006614017	0.0002288258	0.001545773	0.001609109	0.002647864	0.341567	0.288993	0.369439
161	-25.7856	-60.7777	34.992	0.0003654617	0.0005726053	0.0003546595	0.001700919	0.001609109	0.002647864	0.341567	0.288993	0.369439
162	-23.6589	-59.6454	35.9864	0.0006725251	0.0005726484	0.0005032581	0.001643172	0.0006255985	0.001953605	0.397936	0.48354	0.118524
