Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
130	0	-424.925	-411.796	-13.1287	534696	7.147311	0.998262	0.999555	1.00044	1.00174	3.471907
131	1	-407.628	-403.056	-4.57154	651991	10.82161	0.998426	0.999597	1.0004	1.00157	2.699367
132	0	-426.554	-416.902	-9.65184	776197.7	10.05431	0.998558	0.999631	1.00037	1.00144	3.184536
133	1	-418.11	-406.589	-11.5213	133508.3	7.449522	0.996523	0.999109	1.00089	1.00348	3.290633
134	0	-417.322	-408.969	-8.35302	143329.5	11.19101	0.996645	0.99914	1.00086	1.00336	3.040545
135	1	-429.217	-418.385	-10.8328	327742.6	8.566025	0.997781	0.999432	1.00057	1.00222	3.293293
136	0	-415.73	-416.813	1.08384	661859.9	12.03754	0.998438	0.999601	1.0004	1.00156	2.228607
137	1	-423.701	-410.779	-12.9213	997520.4	9.13946	0.998728	0.999675	1.00032	1.00127	3.53659
138	0	-419.472	-411.972	-7.49989	30877.91	10.18974	0.992776	0.998143	1.00184	1.00724	2.971697
139	1	-425.252	-415.388	-9.86404	145712.4	8.635925	0.996672	0.999148	1.00085	1.00333	3.183893
140	0	-418.094	-410.874	-7.22022	896063.7	14.02188	0.998658	0.999657	1.00034	1.00134	2.836251
141	1	-423.39	-413.391	-9.99959	608591.6	11.46915	0.998371	0.999583	1.00042	1.00163	3.176161
142	0	-421.305	-415.605	-5.70031	299028.4	10.86463	0.997676	0.999405	1.00059	1.00233	2.803832
143	1	-421.435	-417.559	-3.87599	443371	12.60314	0.998092	0.999512	1.00049	1.00191	2.633382
144	0	-420.509	-417.793	-2.71675	7101.211	12.4902	0.984957	0.996107	1.00381	1.01512	2.542407
145	1	-429.805	-420.614	-9.19148	957783.3	8.314716	0.998701	0.999668	1.00033	1.0013	3.083295
146	0	-422.08	-408.998	-13.0824	454052.4	9.153007	0.998114	0.999518	1.00048	1.00189	3.554003
147	1	-422.748	-413.019	-9.72932	610434.1	8.328756	0.998374	0.999584	1.00042	1.00163	3.149021
148	0	-415.093	-406.965	-8.1277	373249.2	11.06007	0.99792	0.999468	1.00053	1.00208	3.02342
149	1	-420.864	-416.252	-4.61166	415723.8	12.84805	0.998029	0.999496	1.0005	1.00197	2.686064
150	0	-416.718	-410.634	-6.08353	486869.8	10.60447	0.998179	0.999534	1.00046	1.00182	2.838239
151	1	-423.825	-409.578	-14.2473	960159.4	6.759969	0.998703	0.999668	1.00033	1.0013	3.575782
152	0	-428.72	-416.464	-12.2558	843658.2	7.585773	0.998616	0.999646	1.00035	1.00138	3.403602
153	1	-424.9	-416.026	-8.87419	830096.1	10.64871	0.998605	0.999643	1.00036	1.0014	3.100584
154	0	-431.298	-419.601	-11.6964	661933.5	10.7113	0.998438	0.999601	1.0004	1.00156	3.36283
155	1	-425.515	-416.276	-9.23943	25467.74	9.044116	0.992046	0.997954	1.00202	1.00798	3.130619
156	0	-428.008	-418.687	-9.32071	283968.6	8.673322	0.997616	0.99939	1.00061	1.00239	3.1231
157	1	-430.843	-416.316	-14.5267	297133.3	13.19598	0.997669	0.999403	1.00059	1.00233	3.428155
158	0	-422.778	-416.323	-6.45553	631833.9	12.76006	0.998401	0.999591	1.00041	1.0016	2.832696
159	1	-422.733	-412.823	-9.91052	699140.1	10.16141	0.99848	0.999611	1.00039	1.00152	3.208732
160	0	-416.689	-404.267	-12.4226	745285.1	7.286284	0.998528	0.999624	1.00038	1.00147	3.392185
161	1	-416.859	-406.922	-9.93631	678105.8	10.45348	0.998457	0.999605	1.00039	1.00154	3.205417
162	0	-420.865	-408.239	-12.6253	449563.8	7.96282	0.998105	0.999515	1.00048	1.0019	3.48041
163	1	-423.072	-412.87	-10.2021	181792.2	8.04326	0.99702	0.999237	1.00076	1.00298	3.183575
164	0	-433.212	-421.879	-11.3331	600482.6	8.71124	0.99836	0.999581	1.00042	1.00164	3.356168
165	1	-421.453	-418.364	-3.08916	592335.2	12.17937	0.998349	0.999578	1.00042	1.00165	2.574691
166	0	-425.378	-417.346	-8.03127	230529	16.53983	0.997354	0.999323	1.00067	1.00265	2.752571
167	1	-437.56	-424.815	-12.7449	476526	6.927671	0.998159	0.999529	1.00047	1.00184	3.384239
168	0	-424.088	-412.371	-11.7173	706908.4	9.035165	0.998489	0.999613	1.00039	1.00151	3.404554
169	1	-432.653	-424.25	-8.40209	366231.4	10.59503	0.9979	0.999463	1.00054	1.0021	3.057007
