Iteration	Posterior	Likelihood	Prior	mu_morpho
338	-61.836	-61.8335	-0.00246409	0.002464094
339	-61.836	-61.8335	-0.00246409	0.002464094
340	-61.7342	-61.7318	-0.0023956	0.002395597
341	-61.7342	-61.7318	-0.0023956	0.002395597
342	-63.3055	-63.3024	-0.00314891	0.003148906
343	-62.5388	-62.536	-0.00283385	0.002833853
344	-61.3476	-61.3457	-0.00192216	0.001922162
345	-61.3521	-61.3501	-0.00194906	0.001949058
346	-62.1435	-62.1409	-0.00264174	0.002641735
347	-62.1435	-62.1409	-0.00264174	0.002641735
348	-61.4407	-61.4386	-0.0021286	0.002128601
349	-62.5901	-62.5872	-0.00285687	0.002856875
350	-61.4337	-61.432	-0.0016734	0.001673402
351	-61.4337	-61.432	-0.0016734	0.001673402
352	-61.4326	-61.4305	-0.00211772	0.002117717
353	-61.3496	-61.3477	-0.00193597	0.001935969
354	-61.8538	-61.8524	-0.00140282	0.001402821
355	-61.7963	-61.7949	-0.00142836	0.00142836
356	-61.4189	-61.4172	-0.00169151	0.001691512
357	-61.6638	-61.6615	-0.00234374	0.002343741
358	-61.9601	-61.9588	-0.00135987	0.001359868
359	-61.8272	-61.8258	-0.00141441	0.001414408
360	-61.356	-61.3542	-0.00181126	0.001811257
361	-61.4733	-61.4712	-0.00216874	0.002168741
362	-62.6574	-62.6563	-0.00115544	0.00115544
363	-62.4185	-62.4173	-0.00121496	0.001214956
364	-61.4452	-61.4435	-0.00166048	0.001660479
365	-61.4452	-61.4435	-0.00166048	0.001660479
366	-61.4078	-61.4061	-0.00170637	0.001706368
367	-61.351	-61.3492	-0.00183192	0.00183192
368	-62.1493	-62.1467	-0.0026448	0.002644805
369	-61.3547	-61.3528	-0.00181634	0.001816343
370	-61.719	-61.7166	-0.00238477	0.002384774
371	-61.6925	-61.6901	-0.00236538	0.002365376
372	-61.3577	-61.3557	-0.00197148	0.001971479
373	-61.3577	-61.3557	-0.00197148	0.001971479
374	-62.2328	-62.2301	-0.00268784	0.00268784
375	-61.3489	-61.347	-0.0018439	0.001843901
376	-61.3622	-61.3602	-0.00198617	0.001986169
377	-61.5104	-61.5082	-0.00220898	0.002208982
378	-61.4552	-61.4535	-0.00164992	0.001649924
379	-61.3531	-61.3512	-0.00182271	0.001822714
380	-61.3531	-61.3512	-0.00182271	0.001822714
381	-62.6732	-62.6703	-0.00289344	0.002893445
382	-61.3459	-61.344	-0.00187181	0.001871813
383	-61.4843	-61.4821	-0.00218113	0.002181129
384	-61.3756	-61.3735	-0.00202054	0.002020539
385	-61.3756	-61.3735	-0.00202054	0.002020539
386	-61.3756	-61.3735	-0.00202054	0.002020539
387	-61.572	-61.5697	-0.00226783	0.002267825
388	-62.4763	-62.4735	-0.00280532	0.002805316
389	-62.4763	-62.4735	-0.00280532	0.002805316
390	-61.7823	-61.7799	-0.00242879	0.002428794
391	-61.394	-61.3923	-0.00172693	0.001726928
392	-61.4599	-61.4583	-0.00164506	0.00164506
393	-61.4713	-61.4692	-0.00216644	0.002166445
394	-61.8755	-61.873	-0.00248902	0.002489025
395	-61.3455	-61.3436	-0.00188993	0.001889935
396	-61.3455	-61.3436	-0.00188993	0.001889935
397	-61.529	-61.5274	-0.00158438	0.001584383
398	-61.4587	-61.457	-0.00164636	0.001646355
399	-63.6591	-63.6558	-0.00327905	0.003279049
400	-61.4193	-61.4172	-0.00209878	0.002098779
401	-61.4193	-61.4172	-0.00209878	0.002098779
402	-61.799	-61.7966	-0.00243996	0.002439958
403	-61.7978	-61.7953	-0.00243915	0.002439151
404	-61.3455	-61.3436	-0.00188472	0.00188472
405	-61.3455	-61.3436	-0.00188472	0.00188472
406	-61.3455	-61.3436	-0.00188472	0.00188472
407	-61.3455	-61.3436	-0.00188472	0.00188472
408	-61.3455	-61.3436	-0.00188472	0.00188472
409	-61.3918	-61.3898	-0.00205354	0.00205354
410	-62.5449	-62.5421	-0.00283662	0.002836623
411	-61.3867	-61.3846	-0.00204377	0.002043772
412	-61.3577	-61.3557	-0.00197155	0.001971547
413	-61.3769	-61.3751	-0.00175755	0.001757549
414	-61.3622	-61.3605	-0.00179185	0.001791851
415	-64.269	-64.2655	-0.00348914	0.003489141
416	-61.4138	-61.4121	-0.00169819	0.001698194
417	-61.3718	-61.3701	-0.0017682	0.001768197
418	-61.857	-61.8546	-0.00247748	0.002477478
