Iteration	Posterior	Likelihood	Prior	alpha_morpho	alpha_ofbeta	beta_ofbeta	br_len_lambda	cats[1]	cats[2]	cats[3]	cats[4]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
960	-416.121	-408.009	-8.11213	544973.3	5.999756	10.87232	11.66754	0.236493	0.330586	0.403312	0.51323	0.277724	0.280159	0.0341171	0.408	0.998279	0.99956	1.00044	1.00172	2.619751
970	-426.112	-416.098	-10.0146	679659.1	9.97966	13.16251	12.89594	0.314276	0.402904	0.467596	0.562036	0.0814245	0.0946168	0.725599	0.0983601	0.998459	0.999606	1.00039	1.00154	2.706218
980	-421.5	-412.183	-9.31712	365962.4	17.39535	23.02575	16.17382	0.338666	0.407929	0.457545	0.530406	0.180133	0.0832338	0.0751597	0.661473	0.9979	0.999463	1.00054	1.0021	2.429366
990	-424.129	-409.127	-15.0025	654896.2	13.95811	19.10745	14.17324	0.322747	0.398116	0.452624	0.532815	0.00677253	0.564464	0.238989	0.189775	0.99843	0.999598	1.0004	1.00157	2.946112
1000	-432.044	-415.875	-16.1688	679914.1	14.25754	13.8285	9.806382	0.392531	0.477483	0.53705	0.621457	0.036746	0.185639	0.649012	0.128603	0.998459	0.999606	1.00039	1.00154	3.277344
1010	-425.883	-412.168	-13.7149	468116.1	15.10943	19.19424	10.94976	0.340886	0.415942	0.469756	0.54838	0.0852131	0.0658946	0.496002	0.35289	0.998143	0.999525	1.00047	1.00186	2.965726
1020	-437.548	-420.243	-17.3052	810864.7	17.25728	19.48361	6.752685	0.370711	0.444673	0.497005	0.572676	0.27374	0.22405	0.00790339	0.494307	0.998589	0.999639	1.00036	1.00141	3.066704
1030	-430.365	-418.898	-11.4674	89402.57	23.74048	22.72245	11.00285	0.419787	0.487221	0.534035	0.60097	0.717917	0.182241	0.00483813	0.0950041	0.995752	0.998911	1.00108	1.00425	2.65018
1040	-438.823	-421.809	-17.0139	643326.5	16.56696	20.71674	8.942324	0.348066	0.420531	0.472286	0.547844	0.0661501	0.272002	0.467189	0.194658	0.998416	0.999595	1.0004	1.00159	3.264607
1050	-429.738	-412.311	-17.4265	43677.24	12.97156	14.84439	7.617478	0.354456	0.438127	0.497846	0.583946	0.0603515	0.638706	0.0788452	0.222097	0.993924	0.99844	1.00155	1.00609	3.350973
1060	-437.789	-421.371	-16.4182	152614.8	14.84605	21.27114	10.21287	0.316527	0.388414	0.440481	0.517456	0.490221	0.0490046	0.429459	0.0313151	0.996748	0.999167	1.00083	1.00326	3.215961
1070	-432.174	-415.019	-17.1552	47499.16	15.5275	28.81698	11.55655	0.26975	0.331938	0.377752	0.447051	0.0940999	0.0758082	0.610701	0.219391	0.994174	0.998504	1.00148	1.00584	3.164321
