Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	alpha_ofbeta	beta_ofbeta	br_len_lambda	cats[1]	cats[2]	cats[3]	cats[4]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
65	1	-417.025	-408.128	-8.89674	683518.6	9.972541	13.5045	10.53643	0.309374	0.397039	0.461188	0.555133	0.208712	0.00563077	0.703286	0.0823712	0.998463	0.999607	1.00039	1.00154	2.614862
66	0	-428.751	-415.326	-13.425	808439.9	4.107278	5.918439	11.72121	0.252754	0.374099	0.467997	0.603935	0.0575485	0.439048	0.0893174	0.414086	0.998587	0.999639	1.00036	1.00141	3.131441
67	1	-424.408	-409.208	-15.1994	895743.7	15.57521	14.44784	10.45259	0.406317	0.489078	0.546761	0.628254	0.620036	0.0343257	0.0296005	0.316038	0.998657	0.999657	1.00034	1.00134	3.152564
68	0	-424.885	-407.777	-17.108	93774.79	10.09331	12.98444	11.77749	0.31947	0.408593	0.473467	0.567897	0.0850732	0.116917	0.529967	0.268043	0.995852	0.998937	1.00106	1.00415	3.330839
69	1	-414.205	-407.087	-7.11802	829437	5.238798	10.65587	11.26322	0.213629	0.306941	0.380552	0.493437	0.319408	0.0115957	0.0134725	0.655524	0.998605	0.999643	1.00036	1.0014	2.538057
70	0	-423.225	-409.814	-13.4112	893776.8	14.87725	20.73085	10.19909	0.322015	0.394715	0.447256	0.52472	0.179094	0.255944	0.175489	0.389473	0.998656	0.999656	1.00034	1.00134	2.926374
71	1	-423.545	-411.301	-12.2443	36488.51	3.726188	7.388591	11.0798	0.203198	0.310736	0.397638	0.529913	0.19285	0.0163248	0.0418039	0.749021	0.993354	0.998293	1.00169	1.00666	3.040292
72	0	-423.037	-410.546	-12.4915	27742.01	13.31797	12.17315	11.43961	0.400875	0.490107	0.55241	0.639895	0.480278	0.0973209	0.0681602	0.354241	0.992379	0.99804	1.00194	1.00764	2.9265
73	1	-438.139	-419.562	-18.5773	26779.55	5.125822	7.654278	11.76328	0.259083	0.369024	0.453184	0.576566	0.0580532	0.0220935	0.844623	0.0752306	0.992243	0.998005	1.00197	1.00778	3.544161
74	0	-427.623	-412.117	-15.5058	33290.5	8.722181	11.43424	13.36157	0.308621	0.402691	0.47171	0.572167	0.138334	0.171386	0.0958798	0.5944	0.993042	0.998212	1.00177	1.00698	3.125854
75	1	-438.595	-414.071	-24.5249	146572.5	10.38175	11.37101	6.222867	0.35138	0.44512	0.512219	0.607984	0.0759307	0.0380398	0.875945	0.0100841	0.996682	0.99915	1.00085	1.00332	4.312576
76	0	-440.119	-421.912	-18.2073	41652.98	10.55937	8.224935	6.957276	0.418523	0.522026	0.593417	0.690668	0.0619608	0.71387	0.0125812	0.211588	0.993779	0.998402	1.00158	1.00623	3.499979
77	1	-431.202	-411.896	-19.3054	106564.8	7.230096	6.036346	12.87273	0.379311	0.498652	0.582517	0.695909	0.397673	0.122115	0.372762	0.10745	0.996109	0.999003	1.00099	1.0039	3.505302
78	0	-434.781	-421.653	-13.1275	205273.3	12.61876	16.0655	10.35017	0.332252	0.413486	0.472075	0.557529	0.0786925	0.158351	0.0906574	0.672299	0.997196	0.999282	1.00072	1.00281	2.967098
79	1	-420.876	-413.217	-7.65969	728081.8	5.77417	4.332538	10.62358	0.38081	0.515386	0.609422	0.732536	0.794392	0.021249	0.176491	0.00786828	0.998511	0.999619	1.00038	1.00149	2.62677
80	0	-426.043	-416.365	-9.6775	402821.2	4.889504	8.128926	10.84361	0.240282	0.346662	0.429307	0.552356	0.0633332	0.122123	0.218108	0.596435	0.997998	0.999488	1.00051	1.002	2.791029
81	1	-425.547	-410.324	-15.2225	79446.2	10.29973	10.7662	8.124807	0.359912	0.455558	0.523712	0.620371	0.341884	0.0680313	0.411842	0.178242	0.995494	0.998845	1.00115	1.00451	3.20294
82	0	-424.169	-411.642	-12.5267	840432	4.659149	8.184304	9.372453	0.229864	0.335284	0.417943	0.541931	0.0286701	0.257756	0.207696	0.505878	0.998614	0.999646	1.00035	1.00139	3.053021
83	1	-432.541	-416.493	-16.0476	466970.8	8.049319	14.97043	11.70979	0.24474	0.32715	0.389847	0.485011	0.239636	0.120247	0.237888	0.402229	0.998141	0.999524	1.00047	1.00186	3.244937
84	0	-432.215	-411.763	-20.4521	974210.3	20.79905	26.88281	7.958664	0.35066	0.415122	0.461006	0.528303	0.0113568	0.0554577	0.659721	0.273464	0.998712	0.999671	1.00033	1.00129	3.51098
85	1	-426.285	-414.318	-11.9663	979646.5	9.963589	12.37734	8.948506	0.325341	0.41625	0.482234	0.577847	0.0511887	0.451399	0.23659	0.260822	0.998716	0.999672	1.00033	1.00128	2.867685
86	0	-421.888	-412.257	-9.63053	432319.7	23.52425	42.06031	10.58626	0.290132	0.342678	0.38073	0.43793	0.0119297	0.10996	0.4092	0.468911	0.998067	0.999506	1.00049	1.00193	2.287879
87	1	-428.645	-415.075	-13.57	874472.2	6.936718	6.544854	11.55927	0.354472	0.471372	0.554889	0.669891	0.625364	0.117955	0.194183	0.0624989	0.998641	0.999652	1.00035	1.00136	3.12104
88	0	-411.8	-405.842	-5.95788	967916.2	10.90422	14.2223	16.80648	0.320681	0.406399	0.468681	0.559601	0.00748461	0.0160681	0.741279	0.235169	0.998708	0.99967	1.00033	1.00129	2.296855
89	1	-429.158	-414.619	-14.5394	284366.8	3.922553	13.5998	12.14557	0.137874	0.213039	0.276638	0.381048	0.0784308	0.0109036	0.156415	0.75425	0.997617	0.99939	1.00061	1.00238	3.1417
90	0	-423.348	-410.919	-12.4287	323953.5	7.019101	10.67231	8.929326	0.271936	0.368264	0.440763	0.547991	0.115671	0.473801	0.11149	0.299039	0.997768	0.999429	1.00057	1.00223	2.97019
91	1	-427.262	-415.497	-11.7649	951106.8	7.150115	10.27458	11.25697	0.28239	0.380502	0.453856	0.561551	0.137355	0.450698	0.308059	0.103888	0.998697	0.999667	1.00033	1.0013	2.937158
92	0	-424.488	-414.822	-9.66575	230325	4.648819	6.681613	10.20098	0.259843	0.37591	0.464943	0.594318	0.026991	0.243723	0.590316	0.138969	0.997353	0.999322	1.00068	1.00265	2.797217
93	1	-421.178	-414.167	-7.01127	832488.7	6.952553	5.563666	14.26115	0.384054	0.506798	0.59271	0.707795	0.569169	0.150652	0.113939	0.16624	0.998607	0.999644	1.00036	1.00139	2.524768
94	0	-425.977	-419.092	-6.88509	917355.6	5.18784	7.112938	14.95478	0.273197	0.386889	0.473027	0.597657	0.183316	0.310791	0.168631	0.337261	0.998673	0.999661	1.00034	1.00133	2.496189
95	1	-424.874	-416.507	-8.36617	113375.9	12.53492	15.07024	11.02105	0.343076	0.426432	0.486263	0.572954	0.34935	0.251099	0.368451	0.0311	0.996227	0.999033	1.00096	1.00378	2.540135
96	0	-419.651	-415.056	-4.59543	185945.4	7.306324	8.583039	13.13386	0.318639	0.424471	0.501851	0.612305	0.0321332	0.652827	0.232595	0.0824447	0.997054	0.999246	1.00075	1.00295	2.342113
97	1	-429.886	-417.755	-12.1309	124003.9	13.01402	11.19795	12.01027	0.411763	0.503542	0.567266	0.655997	0.148619	0.325924	0.316088	0.209369	0.996393	0.999076	1.00092	1.00361	2.892335
98	0	-411.87	-407.898	-3.97211	558263.9	10.04684	8.646948	16.24261	0.395938	0.498838	0.570701	0.669819	0.567132	0.255638	0.146926	0.0303039	0.998299	0.999565	1.00043	1.0017	2.231547
99	1	-426.402	-411.647	-14.7551	815719.6	15.44306	10.25933	10.46054	0.474623	0.565028	0.625988	0.708604	0.565518	0.0482125	0.320917	0.065353	0.998593	0.99964	1.00036	1.00141	3.151245
100	0	-422.419	-410.082	-12.337	575201.6	7.599572	8.79487	11.44531	0.32358	0.428324	0.504648	0.613485	0.258987	0.134403	0.490366	0.116244	0.998325	0.999571	1.00043	1.00168	2.992366
101	1	-422.562	-408.692	-13.8693	563078.7	8.356397	5.585268	8.807651	0.430696	0.549613	0.63054	0.736808	0.483334	0.00380221	0.466427	0.0464372	0.998307	0.999567	1.00043	1.00169	3.168715
102	0	-421.473	-411.546	-9.92638	914349.8	5.488225	6.958135	12.35554	0.289036	0.404046	0.490112	0.613308	0.106266	0.377026	0.403758	0.11295	0.998671	0.99966	1.00034	1.00133	2.798418
103	1	-433.039	-418.545	-14.4946	311161.2	8.657411	6.645675	8.137143	0.40766	0.520907	0.599252	0.704711	0.565078	0.0196682	0.273485	0.141768	0.997722	0.999417	1.00058	1.00228	3.185301
104	0	-414.639	-406.359	-8.27977	318353.5	2.357098	3.256956	9.370099	0.227689	0.376543	0.496147	0.663253	0.106666	0.0749401	0.807546	0.0108474	0.997748	0.999424	1.00057	1.00225	2.676867
105	1	-438.852	-418.589	-20.2632	760715.5	8.099099	8.521676	8.078402	0.34462	0.450298	0.526301	0.633392	0.100266	0.0581905	0.800218	0.0413254	0.998543	0.999627	1.00037	1.00146	3.878085
106	0	-425.152	-415.054	-10.0975	679224.2	14.28227	11.29156	14.80443	0.434384	0.524428	0.586302	0.67181	0.185388	0.335039	0.40152	0.0780522	0.998458	0.999606	1.00039	1.00154	2.628381
