Iteration	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	extinction[1]	extinction[2]	rate_12	rate_21	root_state_freq[1]	root_state_freq[2]	speciation[1]	speciation[2]
760	-1577.38	-1590.65	13.2787	0.186562	0.0427517	0.0454835	0.078427	0.001823142	0.004980292	0.294362	0.705638	0.232045	0.121179
765	-1577.16	-1591.17	14.0139	0.190784	0.0675582	0.0412607	0.0677306	0.0009590418	0.001696996	0.294362	0.705638	0.232045	0.135289
770	-1578.65	-1591.66	13.0136	0.176235	0.0699728	0.0410832	0.0677306	0.003206876	0.006063287	0.747591	0.252409	0.217318	0.137703
775	-1576.28	-1588.16	11.8835	0.136617	0.0406411	0.121489	0.0970623	0.001265674	0.003716106	0.341476	0.658524	0.258106	0.137703
780	-1577.06	-1588	10.9412	0.136617	0.0759042	0.121489	0.0970623	0.001158216	0.006694507	0.467542	0.532458	0.258106	0.172966
785	-1577.07	-1588.37	11.2923	0.159029	0.0745375	0.0990764	0.098429	0.001266479	0.006081286	0.534299	0.465701	0.258106	0.172966
790	-1576.37	-1586.73	10.3665	0.135341	0.0550962	0.165165	0.11787	0.0004819472	0.003022554	0.130011	0.869989	0.300506	0.172966
795	-1578.11	-1588.36	10.2411	0.12954	0.0278259	0.165165	0.1186	0.0007893158	0.005691062	0.333922	0.666078	0.294706	0.146426
800	-1578	-1588.17	10.1727	0.12954	0.0565593	0.165165	0.0852101	0.001776377	0.00781311	0.798551	0.201449	0.294706	0.141769
805	-1578.31	-1589.33	11.0203	0.12954	0.0314199	0.165165	0.104661	0.001879621	0.001878173	0.122769	0.877231	0.294706	0.136081
810	-1577.71	-1588.62	10.9118	0.138728	0.0787213	0.160491	0.079711	0.0019334	0.002642449	0.556244	0.443756	0.299218	0.158432
815	-1578.91	-1591.18	12.2694	0.169749	0.037189	0.113304	0.0872982	0.001642688	0.001575752	0.437276	0.562724	0.283052	0.124487
820	-1579.32	-1591.19	11.8714	0.163263	0.100375	0.113304	0.0688221	0.001924859	0.002159554	0.222652	0.777348	0.276567	0.169197
825	-1577.65	-1589.68	12.0261	0.166975	0.0560532	0.102844	0.0664941	0.001490678	0.006436912	0.824341	0.175659	0.269819	0.122547
830	-1576.86	-1589.47	12.6128	0.150441	0.0725536	0.119378	0.0664941	0.001000667	0.001210901	0.253164	0.746836	0.269819	0.139048
835	-1578.16	-1589.71	11.5536	0.131046	0.0271297	0.138772	0.104564	0.0005192163	0.004171383	0.42407	0.57593	0.269819	0.131694
840	-1575.85	-1588.28	12.4387	0.153747	0.0674201	0.116072	0.0659146	0.001688197	0.002205282	0.149773	0.850227	0.269819	0.133335
845	-1579.86	-1590.96	11.0924	0.140049	0.0760488	0.109961	0.0715552	0.004726035	0.007297193	0.722553	0.277447	0.250011	0.147604
850	-1578.69	-1590.13	11.4345	0.130956	0.0543941	0.115324	0.0932099	0.004091492	0.004311391	0.662185	0.337815	0.24628	0.147604
855	-1576.58	-1589.96	13.3852	0.183401	0.0539502	0.0427738	0.0776718	0.00268138	0.003433642	0.120152	0.879848	0.226174	0.131622
860	-1575.72	-1587.38	11.6588	0.132645	0.0725963	0.131147	0.0776718	0.001287104	0.004371441	0.365667	0.634333	0.263792	0.150268
865	-1575.63	-1586.91	11.2782	0.132645	0.0639763	0.131147	0.0776718	0.001388401	0.007062842	0.0645929	0.935407	0.263792	0.141648
