Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
246	0	-1569.97	-1572.45	2.48174	0.2630055	0.1768167	0.08618878	0.1768167
247	0	-1571.06	-1573.76	2.69972	0.2410573	0.1586717	0.08238557	0.1586717
248	0	-1571.52	-1573.27	1.75149	0.366897	0.2943467	0.07255032	0.2943467
249	0	-1570.62	-1573.24	2.6211	0.2456735	0.1556731	0.09000042	0.1556731
250	0	-1569.82	-1572.03	2.21042	0.3027245	0.2317765	0.07094794	0.2317765
251	0	-1571.52	-1573.31	1.78695	0.3459486	0.2549339	0.09101468	0.2549339
252	0	-1571.25	-1573.27	2.02219	0.3002359	0.1947676	0.1054684	0.1947676
253	0	-1572.73	-1575.19	2.46054	0.2412446	0.120805	0.1204396	0.120805
254	0	-1570.33	-1572.36	2.03559	0.3267683	0.2615682	0.06520009	0.2615682
255	0	-1569.96	-1572.16	2.19761	0.3047472	0.2366248	0.06812237	0.2366248
256	0	-1569.91	-1571.97	2.06268	0.3204459	0.2441867	0.07625928	0.2441867
257	0	-1571.55	-1573.8	2.24533	0.2909199	0.2364478	0.05447208	0.2364478
258	0	-1569.89	-1572.35	2.4598	0.2683075	0.1873636	0.08094385	0.1873636
259	0	-1570.05	-1572.2	2.15093	0.2961682	0.202544	0.09362417	0.202544
260	0	-1569.73	-1571.88	2.158	0.3024089	0.2174834	0.08492544	0.2174834
261	0	-1570.18	-1572.48	2.29477	0.2919381	0.2258774	0.06606072	0.2258774
262	0	-1569.7	-1571.91	2.20681	0.2949352	0.208138	0.08679718	0.208138
263	0	-1571.26	-1573.05	1.79841	0.3508766	0.2662362	0.0846404	0.2662362
264	0	-1570.57	-1572.61	2.04284	0.30555	0.2078436	0.0977063	0.2078436
265	0	-1571.45	-1573.78	2.33247	0.2602699	0.1485345	0.1117354	0.1485345
266	0	-1570.96	-1572.8	1.84213	0.345177	0.2610595	0.08411755	0.2610595
267	0	-1571.18	-1573.1	1.92516	0.3182935	0.2187062	0.09958732	0.2187062
268	0	-1570.2	-1572.23	2.02996	0.3149862	0.2255039	0.08948227	0.2255039
269	0	-1571.35	-1573.56	2.2043	0.2969318	0.2420329	0.05489892	0.2420329
270	0	-1569.84	-1572.13	2.29422	0.2805236	0.1885548	0.09196883	0.1885548
271	0	-1573.05	-1575.42	2.36846	0.247708	0.1242	0.123508	0.1242
272	0	-1569.73	-1572.02	2.28862	0.2833019	0.194134	0.08916787	0.194134
273	0	-1571.02	-1572.88	1.85564	0.3528343	0.2879926	0.06484169	0.2879926
274	0	-1569.62	-1571.93	2.31433	0.2840779	0.2005411	0.08353684	0.2005411
275	0	-1571.43	-1573.21	1.77371	0.3541327	0.2692106	0.08492207	0.2692106
276	0	-1570.79	-1572.73	1.93774	0.3400265	0.277963	0.06206348	0.277963
277	0	-1571.03	-1573.33	2.30293	0.2663966	0.1583791	0.1080175	0.1583791
278	0	-1570.79	-1572.77	1.98517	0.3126141	0.2148168	0.09779727	0.2148168
279	0	-1570.63	-1572.73	2.10191	0.3154487	0.2556799	0.05976878	0.2556799
280	0	-1570.43	-1572.36	1.92617	0.3387573	0.261598	0.07715929	0.261598
281	0	-1569.82	-1572.14	2.31319	0.2786992	0.1872252	0.09147407	0.1872252
282	0	-1570	-1572.35	2.35265	0.2718151	0.1772133	0.09460185	0.1772133
283	0	-1569.74	-1572.03	2.28958	0.2919078	0.218423	0.0734848	0.218423
284	0	-1571.46	-1573.26	1.79895	0.3437519	0.2522425	0.09150935	0.2522425
285	0	-1571.24	-1573.11	1.86872	0.348369	0.2896734	0.05869566	0.2896734
286	0	-1571.92	-1573.67	1.74734	0.3650614	0.308505	0.05655639	0.308505
287	0	-1572.68	-1574.85	2.16532	0.2903747	0.2422412	0.0481335	0.2422412
288	0	-1570.01	-1572.37	2.3616	0.283506	0.2132701	0.07023585	0.2132701
289	0	-1569.85	-1572.22	2.3636	0.2827077	0.2094043	0.0733034	0.2094043
290	0	-1570.47	-1572.88	2.40898	0.2610174	0.1603748	0.1006425	0.1603748
291	0	-1569.72	-1571.88	2.16081	0.3021589	0.2173752	0.08478374	0.2173752
292	0	-1569.97	-1572.35	2.38405	0.2693624	0.1761974	0.09316504	0.1761974
293	0	-1569.89	-1572.35	2.45796	0.2688701	0.1886732	0.08019696	0.1886732
294	0	-1570.53	-1572.43	1.90814	0.3403989	0.2618793	0.07851954	0.2618793
295	0	-1571.74	-1574.15	2.41482	0.2723947	0.2148721	0.05752266	0.2148721
296	0	-1569.76	-1571.88	2.12535	0.3080243	0.2251063	0.08291798	0.2251063
297	0	-1572.5	-1574.45	1.9462	0.2996412	0.1850471	0.1145941	0.1850471
