Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate
405	1	-1587.896	-1588.651	0.7545622	0.1598288
406	0	-1587.96	-1588.63	0.6699094	0.1643369
407	1	-1588.462	-1589.002	0.5402323	0.1712582
408	0	-1588.253	-1589.142	0.8890433	0.1526747
409	1	-1588.162	-1589.031	0.8687273	0.1537553
410	0	-1587.912	-1588.613	0.7003364	0.1627159
411	1	-1588.477	-1589.407	0.9295392	0.1505205
412	0	-1587.915	-1588.613	0.6977172	0.1628554
413	1	-1587.895	-1588.645	0.7508377	0.160027
414	0	-1588.106	-1588.961	0.8546653	0.1545033
415	1	-1587.896	-1588.617	0.7208038	0.1616259
416	0	-1587.894	-1588.619	0.7243952	0.1614347
417	1	-1588.723	-1589.689	0.9654266	0.1486108
418	0	-1590.617	-1590.915	0.2977521	0.1842774
419	1	-1588.423	-1588.97	0.5472828	0.1708812
420	0	-1588.154	-1589.021	0.8667892	0.1538584
421	1	-1589.653	-1590.04	0.3863818	0.1795047
422	0	-1589.071	-1589.522	0.4517802	0.1759938
423	1	-1587.892	-1588.632	0.7402793	0.160589
424	0	-1590.086	-1590.43	0.3443461	0.1817661
425	1	-1588.194	-1588.788	0.5945839	0.1683545
426	0	-1587.892	-1588.636	0.7440686	0.1603873
427	1	-1587.898	-1588.615	0.7164665	0.1618568
428	0	-1588.333	-1589.238	0.904603	0.1518471
429	1	-1588.142	-1588.75	0.6074389	0.1676684
430	0	-1588.43	-1589.352	0.9218042	0.150932
431	1	-1587.908	-1588.613	0.7043863	0.1625002
432	0	-1588.316	-1589.218	0.9014456	0.152015
433	1	-1588.217	-1589.099	0.8813938	0.1530816
434	0	-1587.975	-1588.638	0.6627204	0.1647201
435	1	-1588.366	-1589.277	0.9106455	0.1515256
436	0	-1588.095	-1588.946	0.851425	0.1546756
437	1	-1588.286	-1589.182	0.8956881	0.1523213
438	0	-1589.314	-1590.347	1.033294	0.1449965
439	1	-1588.599	-1589.116	0.5174499	0.1724766
440	0	-1587.892	-1588.633	0.7407812	0.1605623
441	1	-1588.214	-1589.094	0.8806276	0.1531224
442	0	-1588.918	-1589.908	0.9900653	0.1472992
443	1	-1587.897	-1588.616	0.719149	0.161714
444	0	-1588.412	-1589.331	0.9187669	0.1510936
445	1	-1588.411	-1589.33	0.9185552	0.1511049
446	0	-1587.953	-1588.626	0.6735416	0.1641434
447	1	-1589.079	-1589.53	0.4506933	0.1760521
448	0	-1587.944	-1588.74	0.7957851	0.1576353
449	1	-1587.939	-1588.731	0.7924922	0.1578105
450	0	-1587.974	-1588.784	0.8101924	0.1568688
451	1	-1588.194	-1588.789	0.5944311	0.1683627
452	0	-1589.028	-1589.485	0.4571565	0.1757056
453	1	-1588.127	-1588.739	0.6115143	0.1674509
454	0	-1588.832	-1589.315	0.4829188	0.1743251
455	1	-1588.865	-1589.849	0.9835989	0.1476435
456	0	-1588.74	-1589.236	0.4959643	0.1736265
457	1	-1587.971	-1588.78	0.8091226	0.1569257
458	0	-1587.892	-1588.635	0.7428143	0.1604541
459	1	-1590.452	-1590.764	0.3117419	0.1835229
460	0	-1589.228	-1590.252	1.024496	0.1454653
461	1	-1587.898	-1588.615	0.71713	0.1618215
462	0	-1588.101	-1588.954	0.8530446	0.1545895
463	1	-1588.05	-1588.684	0.6343748	0.1662314
464	0	-1589.446	-1589.854	0.4082921	0.1783275
465	1	-1588.434	-1588.979	0.5452116	0.170992
466	0	-1587.893	-1588.62	0.7268386	0.1613046
467	1	-1588.749	-1589.718	0.968825	0.1484299
468	0	-1588.146	-1588.753	0.6064605	0.1677206
469	1	-1589.113	-1589.56	0.446546	0.1762745
470	0	-1587.898	-1588.615	0.7173321	0.1618107
471	1	-1587.958	-1588.761	0.8027969	0.1572623
472	0	-1588.198	-1589.075	0.8770735	0.1533114
473	1	-1588.029	-1588.67	0.6415898	0.1658466
474	0	-1587.982	-1588.796	0.8136697	0.1566838
475	1	-1588.687	-1589.191	0.5037899	0.1732076
476	0	-1589.677	-1590.061	0.3840007	0.1796327
477	1	-1588.355	-1588.915	0.5599528	0.1702041
478	0	-1588.902	-1589.89	0.9880644	0.1474057
479	1	-1588.202	-1589.081	0.8781021	0.1532567
480	0	-1588.283	-1588.857	0.5746458	0.1694192
481	1	-1587.957	-1588.759	0.8021617	0.157296
482	0	-1587.893	-1588.62	0.7267006	0.1613119
483	1	-1587.96	-1588.63	0.6697118	0.1643475
484	0	-1587.901	-1588.662	0.761424	0.1594636
485	1	-1587.995	-1588.814	0.818983	0.1564012
486	0	-1587.902	-1588.613	0.7117448	0.1621083
487	1	-1588.012	-1588.659	0.6478693	0.1655118
488	0	-1587.974	-1588.637	0.6633618	0.1646859
489	1	-1587.926	-1588.616	0.6897951	0.1632774
490	0	-1587.96	-1588.764	0.8037913	0.1572094
491	1	-1587.894	-1588.619	0.7246031	0.1614236
492	0	-1588.753	-1589.248	0.4940767	0.1737276
493	1	-1588.576	-1589.52	0.9446669	0.1497156
494	0	-1587.961	-1588.63	0.6695748	0.1643548
495	1	-1587.924	-1588.707	0.7830057	0.1583152
496	0	-1589.109	-1590.121	1.011821	0.1461405
497	1	-1588.526	-1589.463	0.9371144	0.1501175
