Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
1670	-1556.34	-1573.13	16.7874	0.100239	0.110607	0.126588	0.124718	0.128654	0.130175	0.128807	0.136159	0.142553	0.140046	0.130361
1680	-1551.59	-1572.02	20.4212	0.272674	0.273211	0.295666	0.306214	0.317583	0.36296	0.387748	0.385893	0.354192	0.379867	0.360016
1690	-1550.67	-1571.91	21.2386	0.17402	0.185532	0.186099	0.198094	0.182336	0.193555	0.207382	0.211767	0.204847	0.20174	0.22025
1700	-1548.93	-1571.62	22.6851	0.122863	0.139752	0.155947	0.153264	0.165813	0.165517	0.164732	0.179337	0.181061	0.16743	0.163483
1710	-1545.08	-1571.61	26.5272	0.185444	0.185331	0.191483	0.18242	0.190092	0.216548	0.212974	0.201096	0.198856	0.194449	0.193157
1720	-1546.11	-1570.62	24.5065	0.200148	0.213419	0.233191	0.232478	0.222999	0.216224	0.237985	0.225799	0.210267	0.22938	0.227629
1730	-1543.81	-1567.73	23.9179	0.150438	0.157166	0.167789	0.168121	0.18898	0.191001	0.204182	0.197061	0.190729	0.192025	0.19522
1740	-1547.94	-1566.66	18.7225	0.10815	0.125299	0.118838	0.136693	0.13484	0.139668	0.13554	0.135747	0.139676	0.13649	0.12585
1750	-1548.41	-1568.66	20.2464	0.127041	0.128134	0.130323	0.123031	0.111699	0.111533	0.126429	0.127194	0.130433	0.124996	0.120561
1760	-1545.24	-1568.16	22.9193	0.139372	0.13852	0.143952	0.146282	0.146544	0.146862	0.153095	0.139945	0.148431	0.145235	0.156241
1770	-1543.25	-1570.11	26.8618	0.121107	0.121787	0.125669	0.119687	0.115789	0.113342	0.118735	0.110182	0.109561	0.113911	0.113613
1780	-1547.7	-1568.1	20.402	0.142947	0.13224	0.13985	0.148342	0.142062	0.153549	0.149723	0.142771	0.14208	0.140928	0.142103
1790	-1551.98	-1569.71	17.7327	0.163081	0.174781	0.156666	0.160017	0.15577	0.149106	0.151225	0.160605	0.150651	0.165459	0.160428
