Iteration	Posterior	Likelihood	Prior	num_events
499	-1567.987	-1566.079	-1.908082	1
500	-1568.32	-1566.794	-1.525077	1
501	-1569.222	-1567.074	-2.147417	1
502	-1567.866	-1567.764	-0.101914	1
503	-1565.905	-1566.486	0.5806284	1
504	-1563.806	-1565.239	1.433388	1
505	-1567.033	-1568.845	1.811582	1
506	-1565.044	-1566.917	1.87237	1
507	-1564.905	-1566.661	1.75533	1
508	-1563.777	-1566.264	2.487243	1
509	-1566.932	-1569.434	2.501815	1
510	-1565.571	-1567.163	1.592185	1
511	-1565.128	-1564.97	-0.1580131	1
512	-1565.093	-1564.99	-0.1026165	1
513	-1566.799	-1565.707	-1.091739	1
514	-1568.125	-1566.092	-2.033625	1
515	-1569.146	-1566.636	-2.509359	1
516	-1573.512	-1567.52	-5.991618	3
517	-1568.655	-1565.545	-3.110596	1
518	-1570.758	-1565.203	-5.555405	2
519	-1571.043	-1570.335	-0.7088256	1
520	-1569.006	-1567.165	-1.840823	1
521	-1568.661	-1565.555	-3.105353	1
522	-1568.357	-1564.943	-3.413682	1
523	-1570.437	-1566.176	-4.260659	1
524	-1568.973	-1566.189	-2.783889	1
525	-1572.79	-1568.814	-3.97648	1
526	-1571.984	-1567.787	-4.196997	1
527	-1572.717	-1568.224	-4.492285	1
528	-1576.171	-1571.275	-4.895814	1
529	-1574.678	-1569.053	-5.624248	1
530	-1573.724	-1567.799	-5.925022	1
531	-1572.674	-1567.422	-5.252415	1
532	-1568.132	-1567.6	-0.5319957	2
533	-1572.692	-1569.517	-3.175259	1
534	-1573.082	-1571.238	-1.843849	1
535	-1569.146	-1570.026	0.8792794	2
536	-1568.947	-1571.977	3.030372	2
537	-1572.294	-1571.698	-0.5958374	1
538	-1578.787	-1578.382	-0.4052984	1
539	-1574.368	-1572.981	-1.386781	1
540	-1572.023	-1571.547	-0.4769104	2
541	-1570.496	-1570.278	-0.2172411	1
542	-1571.332	-1572.588	1.256023	1
543	-1566.919	-1569.128	2.209372	1
544	-1568.992	-1570.314	1.321635	1
545	-1568.215	-1568.442	0.2278162	1
546	-1574.482	-1572.069	-2.41356	2
547	-1567.236	-1567.319	0.08270946	1
548	-1564.554	-1567.965	3.410618	2
549	-1565.169	-1567.485	2.315672	1
550	-1566.436	-1568.01	1.574344	1
551	-1562.544	-1568.198	5.654272	2
552	-1568.414	-1569.429	1.015166	1
553	-1566.592	-1568.592	2.000452	1
554	-1565.795	-1567.887	2.092599	1
555	-1564.838	-1567.576	2.737793	1
556	-1568.383	-1571.518	3.134572	1
557	-1565.775	-1569.192	3.416968	1
558	-1565.45	-1569.061	3.611223	1
559	-1565.74	-1569.076	3.3363	1
560	-1564.898	-1567.914	3.016599	1
561	-1564.474	-1567.377	2.902568	1
562	-1567.188	-1570.159	2.970875	1
563	-1563.902	-1567.333	3.43133	1
564	-1561.612	-1565.18	3.568302	2
565	-1563.164	-1565.261	2.096697	2
566	-1568.87	-1568.121	-0.7491354	2
567	-1565.843	-1567.766	1.922412	1
568	-1566.837	-1569.411	2.573507	1
569	-1565.626	-1568.39	2.763364	1
570	-1564.958	-1567.674	2.715736	1
571	-1570.976	-1569.583	-1.392403	4
572	-1565.86	-1569.908	4.048528	2
573	-1565.731	-1567.635	1.903567	1
574	-1566.453	-1567.94	1.48624	1
575	-1565.407	-1568.679	3.272573	1
576	-1565.04	-1569.47	4.429792	1
577	-1562.695	-1568.634	5.938417	2
578	-1560.753	-1569.065	8.312152	2
579	-1565.8	-1570.817	5.017155	1
580	-1565.662	-1568.814	3.152137	2
581	-1564.879	-1568.659	3.780046	2
582	-1561.923	-1567.522	5.598805	2
583	-1561.139	-1566.219	5.080539	2
584	-1561.956	-1567.517	5.560182	2
585	-1561.578	-1567.191	5.612911	1
586	-1557.45	-1565.755	8.305435	2
587	-1559.391	-1566.138	6.746679	2
588	-1562.719	-1569	6.281077	2
589	-1562.684	-1567.17	4.485599	1
590	-1558.62	-1567.116	8.496959	2
591	-1564.063	-1568.945	4.881597	1
592	-1565.324	-1569.095	3.770687	1
593	-1558.128	-1566.066	7.93806	2
594	-1560.005	-1567.951	7.945159	2
595	-1561.494	-1566.813	5.319006	1
596	-1562.882	-1566.725	3.842255	1
597	-1565.281	-1567.825	2.544052	1
598	-1564.757	-1566.805	2.048239	1
599	-1568.373	-1571.298	2.925198	1
600	-1561.86	-1566.374	4.514192	1
601	-1563.165	-1569.245	6.080316	1
602	-1558.918	-1566.642	7.72422	1
603	-1555.519	-1565.535	10.01622	2
604	-1565.819	-1569.02	3.201084	2
605	-1560.661	-1567.644	6.982344	1
606	-1560.359	-1564.716	4.356849	2
607	-1563.487	-1568.824	5.336982	1
608	-1562.309	-1567.828	5.51849	1
609	-1566.178	-1569.696	3.518742	1
610	-1567.249	-1571.343	4.094043	1
611	-1567.421	-1570.387	2.966225	1
612	-1566.861	-1568.757	1.89582	1
613	-1566.271	-1569.06	2.788931	1
614	-1566.789	-1569.047	2.258365	1
615	-1564.225	-1565.524	1.299072	2
616	-1566.972	-1567.963	0.9906332	1
617	-1567.795	-1567.296	-0.4992615	1
618	-1570.454	-1569.641	-0.8131762	1
619	-1568.094	-1567.03	-1.064446	1
620	-1570.042	-1567.571	-2.471099	1
621	-1571.887	-1569.578	-2.309418	1
622	-1570.772	-1569.736	-1.035217	1
623	-1569.681	-1568.052	-1.628935	1
624	-1567.726	-1567.491	-0.2343311	1
625	-1567.024	-1568.537	1.513371	1
