Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
2540	-1570	-1572.07	2.06627	0.312181	0.2248381	0.08734298	0.2248381
2550	-1570.39	-1572.52	2.12889	0.3130427	0.2507324	0.06231029	0.2507324
2560	-1570.03	-1572.05	2.02059	0.3245672	0.2456151	0.07895208	0.2456151
2570	-1570.73	-1572.66	1.92147	0.3274386	0.2361519	0.09128673	0.2361519
2580	-1570.31	-1572.6	2.28764	0.2748189	0.1748723	0.09994663	0.1748723
2590	-1569.64	-1571.96	2.32727	0.2821105	0.1979062	0.08420424	0.1979062
2600	-1570.82	-1572.73	1.91413	0.3273777	0.235071	0.09230673	0.235071
2610	-1570.81	-1573	2.1922	0.3021415	0.2436878	0.05845378	0.2436878
2620	-1570.07	-1572.57	2.49685	0.2596618	0.1707037	0.08895809	0.1707037
2630	-1570.18	-1572.72	2.53674	0.2597096	0.1792454	0.08046426	0.1792454
2640	-1570.3	-1572.28	1.98002	0.3239909	0.2372707	0.08672017	0.2372707
2650	-1570.1	-1572.62	2.51652	0.2585035	0.1712342	0.08726933	0.1712342
2660	-1569.85	-1572.13	2.28307	0.2933431	0.222498	0.07084506	0.222498
2670	-1570.83	-1573.36	2.53128	0.2477365	0.1463633	0.1013732	0.1463633
2680	-1572.12	-1574.94	2.82026	0.2293068	0.1494346	0.07987217	0.1494346
2690	-1570	-1572.04	2.0441	0.3240561	0.2500733	0.07398272	0.2500733
2700	-1569.97	-1572.13	2.16169	0.3095312	0.2412788	0.06825238	0.2412788
2710	-1572.5	-1574.44	1.93958	0.3173141	0.2709263	0.04638779	0.2709263
2720	-1570.68	-1572.58	1.89294	0.3373519	0.2524037	0.08494819	0.2524037
2730	-1570.28	-1572.36	2.08361	0.3031785	0.2082239	0.09495455	0.2082239
2740	-1570.39	-1572.89	2.50235	0.2662091	0.1943177	0.07189143	0.1943177
2750	-1569.77	-1572.1	2.32788	0.287045	0.213385	0.07365996	0.213385
2760	-1570.08	-1572.32	2.24359	0.2986488	0.2320677	0.06658112	0.2320677
2770	-1569.86	-1571.94	2.08687	0.3126371	0.2292154	0.08342166	0.2292154
2780	-1570.05	-1572.43	2.38034	0.2811623	0.2107831	0.07037916	0.2107831
2790	-1571.76	-1573.5	1.73556	0.3574394	0.2703772	0.08706223	0.2703772
2800	-1571.17	-1573.53	2.36728	0.2589013	0.1499367	0.1089646	0.1499367
2810	-1571.16	-1573.22	2.06754	0.3159184	0.2608649	0.0550535	0.2608649
2820	-1570.5	-1572.44	1.93508	0.330202	0.2437005	0.08650152	0.2437005
2830	-1570	-1572.12	2.11365	0.3030615	0.2120817	0.09097981	0.2120817
2840	-1571.07	-1573.31	2.24397	0.2942502	0.236917	0.05733321	0.236917
2850	-1569.86	-1572.01	2.1568	0.2989442	0.2094114	0.08953277	0.2094114
2860	-1570.36	-1572.71	2.34221	0.2684529	0.168096	0.1003569	0.168096
2870	-1571.26	-1573.69	2.42762	0.2526755	0.143618	0.1090574	0.143618
2880	-1571.14	-1572.97	1.83362	0.3561413	0.2912557	0.06488558	0.2912557
2890	-1570.11	-1572.11	1.99992	0.3267198	0.2467933	0.07992652	0.2467933
2900	-1569.62	-1571.85	2.22759	0.2980036	0.220112	0.07789153	0.220112
2910	-1571.65	-1574.37	2.71938	0.2297978	0.1294727	0.1003251	0.1294727
2920	-1570.06	-1572.1	2.03655	0.3173097	0.2314876	0.0858221	0.2314876
2930	-1571.38	-1573.29	1.90348	0.3394959	0.2845354	0.05496053	0.2845354
2940	-1570.86	-1572.73	1.87356	0.3376511	0.2501734	0.08747774	0.2501734
2950	-1571.68	-1574.15	2.47204	0.2460778	0.1340494	0.1120284	0.1340494
2960	-1571.85	-1573.63	1.78235	0.3573569	0.3027541	0.05460276	0.3027541
2970	-1570.1	-1572.62	2.51864	0.2584762	0.1715637	0.0869125	0.1715637
2980	-1569.68	-1571.85	2.17102	0.3055976	0.2283605	0.07723713	0.2283605
2990	-1570.28	-1572.85	2.56351	0.2562182	0.1746401	0.0815781	0.1746401
3000	-1570.92	-1573.25	2.32752	0.2647347	0.1578577	0.1068769	0.1578577
3010	-1571.87	-1573.62	1.74639	0.3499599	0.2574827	0.09247721	0.2574827
3020	-1569.83	-1572.17	2.33534	0.2863997	0.2138488	0.07255091	0.2138488
3030	-1571.34	-1573.19	1.84461	0.3335926	0.2384525	0.09514018	0.2384525
3040	-1569.68	-1572.03	2.35337	0.2820187	0.2033715	0.0786472	0.2033715
3050	-1569.61	-1571.88	2.26615	0.2930195	0.2148844	0.07813507	0.2148844
3060	-1571.97	-1573.92	1.95082	0.323087	0.2737219	0.04936508	0.2737219
3070	-1570.83	-1573.01	2.17477	0.2829616	0.1778629	0.1050987	0.1778629
3080	-1570.93	-1572.94	2.01211	0.3263622	0.26887	0.05749222	0.26887
3090	-1569.75	-1571.96	2.21338	0.2926929	0.2040109	0.088682	0.2040109
3100	-1569.97	-1572.03	2.05975	0.3147463	0.2294926	0.08525374	0.2294926
3110	-1569.98	-1572.25	2.27259	0.2808243	0.1860754	0.09474892	0.1860754
3120	-1570.39	-1572.33	1.93833	0.3384612	0.2637862	0.07467493	0.2637862
3130	-1569.99	-1572.03	2.04599	0.3236189	0.2492267	0.07439215	0.2492267
3140	-1572.12	-1573.79	1.67344	0.3780481	0.3040582	0.0739899	0.3040582
3150	-1574.85	-1576.64	1.78708	0.3056486	0.1796608	0.1259878	0.1796608
3160	-1569.62	-1571.93	2.3064	0.2876392	0.208734	0.07890519	0.208734
3170	-1569.65	-1571.86	2.21072	0.2961863	0.2117888	0.08439752	0.2117888
