Iteration	Posterior	Likelihood	Prior	mu	beta[1]	beta[2]	switch_rate_0_to_1	switch_rate_1_to_0	switch_rate_1_to_2	switch_rate_2_to_1	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]	switch_rates_pos[3]	switch_rates_pos[4]
4950	-907.6701	-904.7213	-2.948727	0.6350226	0.692845	0.692845	0.01416292	0.5820778	0.2344935	0.1692658	0.0141629	0	0.582078	0.234493	0	0.169266	0.0141629	0.582078	0.234493	0.169266
5000	-912.0791	-907.9796	-4.099477	0.5665674	2.52815	2.52815	0.01774988	0.6611888	0.1635621	0.1574992	0.0177499	0	0.661189	0.163562	0	0.157499	0.0177499	0.661189	0.163562	0.157499
5050	-848.6175	-845.1023	-3.515177	0.7363628	0.245894	0.245894	0.01072971	0.5491874	0.2845608	0.1555221	0.0107297	0	0.549187	0.284561	0	0.155522	0.0107297	0.549187	0.284561	0.155522
5100	-924.8149	-921.7614	-3.053503	0.6757189	0.390658	0.390658	0.01592836	0.5561488	0.2762172	0.1517056	0.0159284	0	0.556149	0.276217	0	0.151706	0.0159284	0.556149	0.276217	0.151706
5150	-1016.57	-1011.95	-4.619247	0.8561666	0.151925	0.151925	0.01715364	0.6497355	0.2124029	0.120708	0.0171536	0	0.649735	0.212403	0	0.120708	0.0171536	0.649735	0.212403	0.120708
5200	-1143.704	-1136.054	-7.649599	1.152582	0.218121	0.218121	0.01630125	0.7370439	0.1702957	0.07635907	0.0163012	0	0.737044	0.170296	0	0.0763591	0.0163012	0.737044	0.170296	0.0763591
5250	-998.3564	-993.7799	-4.576508	0.799369	0.677162	0.677162	0.0152019	0.6005753	0.2250664	0.1591564	0.0152019	0	0.600575	0.225066	0	0.159156	0.0152019	0.600575	0.225066	0.159156
5300	-960.9982	-954.4912	-6.506996	1.027733	0.324012	0.324012	0.01120865	0.6466238	0.2404424	0.1017251	0.0112087	0	0.646624	0.240442	0	0.101725	0.0112087	0.646624	0.240442	0.101725
5350	-1095.965	-1090.987	-4.978027	0.8315963	0.756409	0.756409	0.0164665	0.6166418	0.2191268	0.1477649	0.0164665	0	0.616642	0.219127	0	0.147765	0.0164665	0.616642	0.219127	0.147765
5400	-1030.64	-1026.55	-4.090159	0.7958515	0.225988	0.225988	0.01383956	0.6423257	0.2127838	0.131051	0.0138396	0	0.642326	0.212784	0	0.131051	0.0138396	0.642326	0.212784	0.131051
5450	-1044.189	-1039.094	-5.095629	0.8362677	0.827297	0.827297	0.0102594	0.5776498	0.2679283	0.1441626	0.0102594	0	0.57765	0.267928	0	0.144163	0.0102594	0.57765	0.267928	0.144163
5500	-989.87	-984.0292	-5.840804	0.8539917	1.39523	1.39523	0.01127398	0.5614144	0.2591756	0.1681361	0.011274	0	0.561414	0.259176	0	0.168136	0.011274	0.561414	0.259176	0.168136
5550	-935.84	-930.0445	-5.795517	0.8802811	1.08705	1.08705	0.009664152	0.6128963	0.2492964	0.1281431	0.00966415	0	0.612896	0.249296	0	0.128143	0.00966415	0.612896	0.249296	0.128143
5600	-934.4186	-927.8814	-6.537194	1.030571	0.325826	0.325826	0.00860292	0.5712237	0.303821	0.1163523	0.00860292	0	0.571224	0.303821	0	0.116352	0.00860292	0.571224	0.303821	0.116352
5650	-990.4296	-984.2114	-6.218174	0.8268618	2.0439	2.0439	0.009741044	0.5617311	0.2422418	0.1862861	0.00974104	0	0.561731	0.242242	0	0.186286	0.00974104	0.561731	0.242242	0.186286
5700	-949.287	-945.2611	-4.025865	0.6687726	1.43248	1.43248	0.01580307	0.6485229	0.1965443	0.1391298	0.0158031	0	0.648523	0.196544	0	0.13913	0.0158031	0.648523	0.196544	0.13913
5750	-855.9355	-851.3547	-4.580725	0.7755022	0.920047	0.920047	0.01194021	0.7067026	0.1788797	0.1024776	0.0119402	0	0.706703	0.17888	0	0.102478	0.0119402	0.706703	0.17888	0.102478
5800	-995.6372	-990.1253	-5.511939	0.8275145	1.33114	1.33114	0.01063806	0.6743207	0.1966362	0.118405	0.0106381	0	0.674321	0.196636	0	0.118405	0.0106381	0.674321	0.196636	0.118405
5850	-1167.879	-1162.541	-5.33806	0.9382035	0.0503698	0.0503698	0.01521655	0.6342259	0.2405623	0.1099953	0.0152165	0	0.634226	0.240562	0	0.109995	0.0152165	0.634226	0.240562	0.109995
5900	-1086.415	-1080.5	-5.915298	0.9756393	0.25325	0.25325	0.01104779	0.586848	0.2759701	0.1261342	0.0110478	0	0.586848	0.27597	0	0.126134	0.0110478	0.586848	0.27597	0.126134
5950	-982.8092	-976.7071	-6.102064	0.933402	0.862388	0.862388	0.01154982	0.5869658	0.2650801	0.1364042	0.0115498	0	0.586966	0.26508	0	0.136404	0.0115498	0.586966	0.26508	0.136404
6000	-969.6392	-965.4695	-4.169677	0.7814038	0.449983	0.449983	0.01237873	0.5965614	0.2589413	0.1321185	0.0123787	0	0.596561	0.258941	0	0.132119	0.0123787	0.596561	0.258941	0.132119
6050	-904.9697	-900.5855	-4.384124	0.7003789	1.47468	1.47468	0.01590675	0.6502056	0.2125299	0.1213578	0.0159068	0	0.650206	0.21253	0	0.121358	0.0159068	0.650206	0.21253	0.121358
