Iteration	Posterior	Likelihood	Prior	mu	beta[1]	beta[2]	switch_rate_0_to_1	switch_rate_1_to_0	switch_rate_1_to_2	switch_rate_2_to_1	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]	switch_rates_pos[3]	switch_rates_pos[4]
4500	-1033.274	-1027.542	-5.731754	0.8330535	1.49556	1.49556	0.01611809	0.7571074	0.0817603	0.1450142	0.0161181	0	0.757107	0.0817603	0	0.145014	0.0161181	0.757107	0.0817603	0.145014
4550	-1004.678	-1002.671	-2.006833	0.4584414	1.51676	1.51676	0.02146904	0.6630166	0.121207	0.1943074	0.021469	0	0.663017	0.121207	0	0.194307	0.021469	0.663017	0.121207	0.194307
4600	-931.5297	-925.7665	-5.763174	0.8562555	1.29496	1.29496	0.01073889	0.7287674	0.1491583	0.1113355	0.0107389	0	0.728767	0.149158	0	0.111335	0.0107389	0.728767	0.149158	0.111335
4650	-1028.293	-1022.926	-5.366767	0.8182454	1.27866	1.27866	0.01496939	0.7322727	0.1006162	0.1521417	0.0149694	0	0.732273	0.100616	0	0.152142	0.0149694	0.732273	0.100616	0.152142
4700	-1017.908	-1012.306	-5.602256	0.85697	1.1269	1.1269	0.01404373	0.7525591	0.1296818	0.1037154	0.0140437	0	0.752559	0.129682	0	0.103715	0.0140437	0.752559	0.129682	0.103715
4750	-842.3576	-839.5298	-2.827772	0.5607656	1.31446	1.31446	0.01406607	0.6918514	0.1094628	0.1846197	0.0140661	0	0.691851	0.109463	0	0.18462	0.0140661	0.691851	0.109463	0.18462
4800	-1098.177	-1094.44	-3.737655	0.6786647	1.04535	1.04535	0.02001552	0.7272019	0.1041628	0.1486199	0.0200155	0	0.727202	0.104163	0	0.14862	0.0200155	0.727202	0.104163	0.14862
4850	-1218.113	-1211.738	-6.374886	0.972506	0.744171	0.744171	0.01773835	0.6728293	0.1687647	0.1406677	0.0177384	0	0.672829	0.168765	0	0.140668	0.0177384	0.672829	0.168765	0.140668
4900	-1158.056	-1153.311	-4.744739	0.8120208	0.718875	0.718875	0.02258443	0.7202846	0.1143157	0.1428152	0.0225844	0	0.720285	0.114316	0	0.142815	0.0225844	0.720285	0.114316	0.142815
4950	-962.1617	-957.6806	-4.481145	0.774592	0.829569	0.829569	0.01746734	0.6436113	0.2076692	0.1312521	0.0174673	0	0.643611	0.207669	0	0.131252	0.0174673	0.643611	0.207669	0.131252
5000	-1237.026	-1232.065	-4.960975	0.7773766	1.28155	1.28155	0.02341443	0.7422472	0.08728867	0.1470497	0.0234144	0	0.742247	0.0872887	0	0.14705	0.0234144	0.742247	0.0872887	0.14705
5050	-1069.584	-1066.086	-3.498239	0.6347211	1.24537	1.24537	0.0197281	0.68204	0.139831	0.1584009	0.0197281	0	0.68204	0.139831	0	0.158401	0.0197281	0.68204	0.139831	0.158401
5100	-958.7902	-955.967	-2.82322	0.5850551	1.06701	1.06701	0.01479616	0.653839	0.1432613	0.1881036	0.0147962	0	0.653839	0.143261	0	0.188104	0.0147962	0.653839	0.143261	0.188104
5150	-999.8798	-995.215	-4.664802	0.7676673	1.08247	1.08247	0.01671977	0.674754	0.1481244	0.1604019	0.0167198	0	0.674754	0.148124	0	0.160402	0.0167198	0.674754	0.148124	0.160402
5200	-863.1098	-857.9213	-5.188564	0.7998195	1.28471	1.28471	0.01222346	0.7364341	0.1257081	0.1256343	0.0122235	0	0.736434	0.125708	0	0.125634	0.0122235	0.736434	0.125708	0.125634
5250	-943.4225	-938.8327	-4.589775	0.7464849	1.21927	1.21927	0.01342163	0.7248767	0.1380241	0.1236776	0.0134216	0	0.724877	0.138024	0	0.123678	0.0134216	0.724877	0.138024	0.123678
5300	-1209.126	-1204.506	-4.620216	0.726113	1.45343	1.45343	0.0187765	0.7383001	0.1044925	0.1384309	0.0187765	0	0.7383	0.104492	0	0.138431	0.0187765	0.7383	0.104492	0.138431
5350	-1229.383	-1222.572	-6.810715	1.018353	0.72153	0.72153	0.01993418	0.6992816	0.1647763	0.1160079	0.0199342	0	0.699282	0.164776	0	0.116008	0.0199342	0.699282	0.164776	0.116008
5400	-1128.269	-1119.776	-8.492871	1.140522	1.18199	1.18199	0.01648967	0.803634	0.09794043	0.08193586	0.0164897	0	0.803634	0.0979404	0	0.0819359	0.0164897	0.803634	0.0979404	0.0819359
5450	-1094.306	-1082.791	-11.5147	1.432057	1.28847	1.28847	0.01158343	0.7974097	0.1232669	0.06773999	0.0115834	0	0.79741	0.123267	0	0.06774	0.0115834	0.79741	0.123267	0.06774
5500	-1154.436	-1143.166	-11.26959	1.418087	1.18306	1.18306	0.01394353	0.8330653	0.09796057	0.05503061	0.0139435	0	0.833065	0.0979606	0	0.0550306	0.0139435	0.833065	0.0979606	0.0550306
