Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	extirpation_rate	log10_rate_bg	p_allopatry	p_sympatry	rate_bg
1440	-50.3611	-46.316	-4.04504	0.285982	0.714018	0.01788327	3.58679	1.319	0.536212	0	0.419869	0.8785855	0.7140176	0.2859824	7.561109
1450	-49.9578	-46.3865	-3.57129	0.95138	0.0486199	0.03061343	3.6566	1.62756	0.425969	0	0.7426023	1.415528	0.04861986	0.9513801	26.0332
1460	-51.2191	-47.5682	-3.65094	0.538173	0.461827	0.02225686	3.14141	1.68705	0.617319	0	0.5548596	0.7519261	0.4618272	0.5381728	5.648408
1470	-49.6801	-46.0352	-3.64495	0.519707	0.480293	0.01826076	3.21048	1.46517	0.536595	0	0.5588198	0.8211786	0.4802932	0.5197068	6.624889
1480	-49.4557	-45.8787	-3.57696	0.320195	0.679805	0.02095416	3.57537	1.44107	0.589763	0	0.754989	0.8801897	0.6798052	0.3201948	7.589091
1490	-49.611	-45.4265	-4.18449	0.615994	0.384006	0.02593986	3.32127	1.46892	0.588311	0	0.3929404	1.276618	0.3840062	0.6159938	18.90679
1500	-49.6766	-46.0617	-3.61491	0.435956	0.564044	0.01533131	3.21441	1.7386	0.632118	0	0.8119911	0.8518407	0.564044	0.435956	7.109526
1510	-49.6171	-46.0485	-3.5686	0.0465775	0.953422	0.02096402	2.79101	1.62362	0.573723	0	0.6420132	0.9289463	0.9534225	0.04657754	8.490756
1520	-50.4662	-46.8882	-3.57799	0.693459	0.306541	0.01746112	3.56302	1.32398	0.362246	0	0.6239833	0.846894	0.3065414	0.6934586	7.029007
1530	-50.9475	-46.4384	-4.50905	0.972721	0.0272795	0.02266678	3.33761	1.36852	0.440486	0	1.369036	1.076916	0.02727949	0.9727205	11.93756
1540	-50.4727	-46.759	-3.71368	0.025438	0.974562	0.02390112	3.47651	1.40611	0.302179	0	0.9073912	1.13041	0.974562	0.02543795	13.50237
1550	-50.064	-46.1629	-3.90111	0.82135	0.17865	0.01808414	3.05786	1.70214	0.534901	0	1.039147	0.9928383	0.1786496	0.8213504	9.836448
1560	-50.301	-46.6351	-3.66591	0.0927748	0.907225	0.01739501	2.79954	1.34249	0.372914	0	0.8657717	0.9252569	0.9072252	0.09277481	8.41893
1570	-49.7183	-45.9613	-3.75699	0.634042	0.365958	0.02314743	3.2253	1.41072	0.439304	0	0.941189	1.144124	0.3659583	0.6340417	13.93554
1580	-50.2538	-46.162	-4.0918	0.917252	0.0827475	0.0184687	2.31835	1.49062	0.463393	0	1.151409	0.9340304	0.08274754	0.9172525	8.590736
1590	-54.6919	-51.0904	-3.60153	0.346123	0.653877	0.01984439	3.58126	1.54212	0.629743	0	0.794764	0.3964379	0.6538774	0.3461226	2.491368
1600	-52.6201	-48.801	-3.8191	0.886368	0.113632	0.02259478	3.3172	1.74371	0.592768	0	0.985517	1.353526	0.113632	0.886368	22.56973
1610	-52.7101	-47.4308	-5.27937	0.217655	0.782345	0.02293752	3.11782	1.78767	0.589847	0	0.2718842	0.8818818	0.7823452	0.2176548	7.618717
1620	-53.7916	-50.1362	-3.65532	0.45567	0.54433	0.01192968	3.63905	1.73846	0.500484	0	0.8556451	0.9208809	0.5443299	0.4556701	8.334525
1630	-49.8598	-46.1733	-3.68659	0.54352	0.45648	0.01439691	3.2855	1.62499	0.545646	0	0.8845052	0.6255672	0.4564795	0.5435205	4.222477
1640	-53.6738	-49.1903	-4.48351	0.549322	0.450678	0.02423628	2.60536	1.50551	0.642918	0	1.356325	0.7916865	0.4506784	0.5493216	6.189941
