Iteration	Replicate_ID	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	p_invar	pi[1]	pi[2]	pi[3]	pi[4]	pop_size[1]	pop_size[2]	pop_size[3]	pop_size[4]	pop_size[5]	pop_size[6]	root_height
56	0	-1823.03	-1411.91	-411.127	0.0405283	0.74868	0.0221396	0.0230964	0.103514	0.0620417	8567.37	14948	16281.4	37739.7	inf	0.9558467	0.328593	0.243786	0.147088	0.280534	590675	533632	150948	697469	641766	178226	161341.6
57	1	-1830.29	-1411.83	-418.453	0.00655915	0.861609	0.0210013	0.0124413	0.096003	0.00238631	15817.8	17082.8	35497.1	62649.8	inf	0.1952758	0.339283	0.277345	0.133112	0.250259	541736	224492	750513	432552	826884	556087	268162.8
58	0	-1823.63	-1412.23	-411.398	0.00150426	0.708398	0.0327039	0.0315123	0.141233	0.0846486	3123.35	14047.5	17637.3	37739.7	inf	0.9558467	0.301438	0.253646	0.153037	0.29188	570117	548966	147747	633547	688362	181114	240000.5
59	1	-1828.39	-1410.19	-418.206	0.00753858	0.736521	0.0279796	0.0106351	0.215286	0.00203987	14681.8	16504.9	28018.3	54260	inf	0.2413166	0.339283	0.277345	0.133112	0.250259	536500	239931	761485	451972	819262	556087	228235.4
60	0	-1823.31	-1410.64	-412.662	0.00150426	0.708398	0.0327039	0.0315123	0.141233	0.0846486	6288.22	12202.1	17272.4	34533.1	inf	0.9558467	0.301438	0.253646	0.153037	0.29188	563983	592847	159302	587212	711656	190383	218865.1
61	1	-1830.99	-1411.39	-419.604	0.00753858	0.736521	0.0279796	0.0106351	0.215286	0.00203987	14534.1	16969.3	29005.1	69097.5	inf	0.2413166	0.307751	0.28859	0.143254	0.260406	525150	248084	761485	445640	819262	503481	286585.9
62	0	-1823.24	-1406.02	-417.224	0.00141096	0.732771	0.0338291	0.044806	0.099622	0.087561	3302.21	14457.1	24290.3	53121.6	inf	0.8713201	0.352923	0.234951	0.141757	0.270368	539260	622475	163433	587212	681561	195299	330722
63	1	-1830.84	-1412.08	-418.762	0.00705068	0.724231	0.044561	0.0104576	0.211693	0.00200583	7262.37	12736.8	27030.2	73456.1	inf	0.2413166	0.307751	0.28859	0.143254	0.260406	535170	258762	834135	429850	840400	503481	201393.5
64	0	-1823.71	-1410.15	-413.561	0.00133072	0.691103	0.0319055	0.0410175	0.0939571	0.140686	3231.32	19277.4	22875.5	60698.8	inf	0.8713201	0.352923	0.234951	0.141757	0.270368	539260	623931	151642	568743	635832	195299	338915.1
65	1	-1828.09	-1410.97	-417.112	0.0499076	0.692973	0.0426377	0.0100063	0.202556	0.00191926	7732.07	11545.8	29532.1	52253.5	inf	0.2413166	0.307751	0.28859	0.143254	0.260406	527202	244414	893053	429850	834976	503481	261210.4
66	0	-1824.22	-1412.24	-411.985	0.00132119	0.686153	0.031677	0.0478859	0.0932842	0.139679	5284.87	16981.7	18904.1	54239.6	inf	0.8713201	0.352923	0.234951	0.141757	0.270368	560015	603158	144662	592579	597335	186432	338847
67	1	-1827.64	-1412.02	-415.628	0.0502456	0.689231	0.0429264	0.0117368	0.203928	0.00193225	8487.95	10772.6	24632.1	40560.3	inf	0.2413166	0.307751	0.28859	0.143254	0.260406	493663	234191	887588	433267	834976	525489	247733.4
68	0	-1821.99	-1411.31	-410.68	0.00127784	0.694376	0.0306375	0.0483901	0.0902232	0.135095	2913.29	12430.8	15512.1	47854.7	inf	0.8713201	0.352923	0.234951	0.141757	0.270368	604684	614916	132911	620317	595475	182305	229716.2
69	1	-1828.04	-1412.91	-415.128	0.0823234	0.61505	0.0510389	0.00682294	0.242467	0.00229742	8487.95	9887.56	24632.1	47269.3	inf	0.2413166	0.307751	0.28859	0.143254	0.260406	470932	235219	909726	430573	808747	528373	191996.3
70	0	-1821.45	-1410.99	-410.463	0.00127784	0.694376	0.0306375	0.0483901	0.0902232	0.135095	3678.61	16111.7	17764.1	41487.2	inf	0.8713201	0.347737	0.231499	0.154369	0.266395	618760	593959	133194	620317	588913	182305	216532
71	1	-1834.84	-1415.93	-418.911	0.070774	0.616665	0.0590318	0.00812228	0.243104	0.00230345	7235.57	12284.3	35875.1	63739.7	inf	0.2413166	0.311034	0.287221	0.142574	0.259171	452565	226288	839478	449327	772249	532616	218940.1
72	0	-1808.23	-1397.71	-410.526	0.00135054	0.733879	0.0323805	0.0511429	0.0953559	0.0858916	5277.88	16111.7	17444.8	61935.1	inf	0.3253574	0.347737	0.231499	0.154369	0.266395	587054	602217	132046	559398	596244	197517	202257.8
73	1	-1832.05	-1415.64	-416.408	0.090211	0.508926	0.0715537	0.0165046	0.309869	0.00293606	5928.79	9682.61	32740.3	50063.1	inf	0.2413166	0.302472	0.279315	0.166176	0.252037	455191	245797	808358	429241	772249	540102	208086.8
74	0	-1814.91	-1401.84	-413.067	0.00133569	0.725814	0.0430142	0.0505809	0.094308	0.0849477	4319.16	14052.8	19365.3	53393.9	inf	0.3253574	0.347737	0.231499	0.154369	0.266395	573580	578683	138000	614443	596244	190273	237476.7
75	1	-1832.66	-1416.15	-416.506	0.0901008	0.508304	0.0714662	0.0164844	0.30949	0.00415497	5900.88	11887.5	24679.1	58728.3	inf	0.1722808	0.302472	0.279315	0.166176	0.252037	454140	258004	780612	429241	772249	522368	149960
76	0	-1808.83	-1394.67	-414.165	0.00169352	0.721034	0.0427309	0.0537415	0.114963	0.0658379	5538.34	12994.7	21497.3	48051.1	inf	0.3253574	0.347737	0.231499	0.154369	0.266395	642246	598659	140814	658553	596244	181044	225377.1
77	1	-1832.11	-1415.33	-416.777	0.0531505	0.542454	0.0762676	0.0175919	0.30584	0.00469624	4561.85	11999.7	25870.5	60399.3	inf	0.1722808	0.302472	0.279315	0.166176	0.252037	445964	254606	790041	386676	787525	548470	147109.2
78	0	-1809.14	-1395.09	-414.05	0.00169425	0.721341	0.0427491	0.0533375	0.115012	0.065866	5776.18	15501.8	21467.4	40246.2	inf	0.3253574	0.328529	0.238316	0.158915	0.27424	630008	641446	140814	640194	577725	182324	223645.8
79	1	-1836.5	-1416.22	-420.277	0.0531835	0.542791	0.076315	0.0144143	0.30603	0.00726597	6353.36	15590	29705.3	74699	inf	0.1722808	0.302472	0.279315	0.166176	0.252037	445964	254606	782634	367389	785333	548470	193301
80	0	-1807.41	-1395.53	-411.877	0.00140135	0.704242	0.0417358	0.0520732	0.105983	0.094564	10416.7	16947.3	18647.1	28409.6	inf	0.241668	0.328529	0.238316	0.158915	0.27424	630008	673454	145349	615230	579388	184892	223232.4
81	1	-1824.62	-1412.49	-412.134	0.0531835	0.542791	0.076315	0.0144143	0.30603	0.00726597	4225.23	8546.12	24207.5	36400.8	inf	0.1722808	0.302472	0.279315	0.166176	0.252037	434494	249707	782634	360474	785333	540382	239123.1
82	0	-1813.09	-1399.01	-414.084	0.00143406	0.720677	0.0193735	0.0532884	0.108457	0.0967707	7744.52	12994.8	21300.8	30645.8	inf	0.241668	0.328529	0.238316	0.158915	0.27424	619634	655634	151253	604917	553147	192509	269366.8
83	1	-1826.62	-1414.26	-412.354	0.034024	0.708331	0.0488223	0.0083924	0.195782	0.00464838	4917.56	7833.81	28174.1	42365.3	inf	0.1722808	0.30582	0.282406	0.168016	0.243758	484118	244314	722445	350595	724624	540382	349514.9
84	0	-1810.52	-1397.79	-412.728	0.00119707	0.601578	0.0161719	0.0545517	0.245723	0.0807784	7348.1	13770.6	18558	38019.8	inf	0.241668	0.327453	0.237536	0.155434	0.279576	612857	655634	139232	629440	538741	200765	243102.3
85	1	-1826.4	-1413.6	-412.798	0.0324434	0.675426	0.0465543	0.00800254	0.233141	0.00443245	5886.3	11346.5	23328.1	33556.2	inf	0.1722808	0.30582	0.282406	0.168016	0.243758	499948	248525	701317	350595	709665	552486	289085.1
86	0	-1804.6	-1394.04	-410.563	0.00121067	0.608414	0.0163556	0.0641998	0.233982	0.0758384	3354.77	9322.62	14947.8	39367.1	inf	0.3517603	0.327453	0.237536	0.155434	0.279576	576556	686612	135194	629440	538741	199262	183970.1
87	1	-1823.3	-1410.93	-412.377	0.0350158	0.650182	0.0502454	0.00814684	0.251626	0.00478388	2771.25	8136.98	26358.8	33972.3	inf	0.1722808	0.315759	0.291584	0.140977	0.25168	505713	249500	701317	341856	749910	556858	301731.8
88	0	-1808.42	-1398.5	-409.913	0.00197359	0.463705	0.0223838	0.0879276	0.32022	0.10379	2619.22	7020.52	12210	31017.3	inf	0.3517603	0.324949	0.238817	0.15515	0.281085	590017	714372	136285	643557	493868	206133	257881.6
89	1	-1820.4	-1406.91	-413.485	0.0360388	0.637666	0.0517133	0.0106805	0.258977	0.00492364	2950.76	8136.98	26664.5	59068	inf	0.1722808	0.330078	0.259972	0.151117	0.258832	459365	232326	693919	350098	721106	540892	205013.4
90	0	-1822.21	-1410	-412.214	0.0019844	0.466243	0.0225064	0.0930712	0.321973	0.0942215	1513.55	13758.1	18967.1	35135.6	inf	0.3517603	0.309574	0.227518	0.147809	0.315099	584009	714372	141681	668358	493868	209035	355747.9
91	1	-1823.07	-1409.23	-413.833	0.0231775	0.749266	0.0364914	0.00753664	0.179503	0.00402552	5165.02	8071.21	26449	59790.1	inf	0.1722808	0.330078	0.259972	0.151117	0.258832	497000	235013	654050	346700	751809	509872	228008.7
92	0	-1823.03	-1405.87	-417.166	0.00230988	0.542716	0.0261979	0.108337	0.285398	0.0350415	4217.82	18019.1	30914.6	62424.7	inf	0.1311811	0.300928	0.230367	0.14966	0.319045	567804	691622	135395	668358	507303	215277	255078.2
93	1	-1819.46	-1406.37	-413.088	0.0295459	0.725001	0.0457328	0.00912484	0.184833	0.00576282	3374.57	9013.58	28051.6	42749.1	inf	0.1722808	0.330078	0.259972	0.151117	0.258832	505627	220527	651588	340995	769644	489547	196817.8
94	0	-1822.5	-1405.36	-417.15	0.00253247	0.610843	0.0287225	0.118777	0.200707	0.0384183	7423.85	15419.5	27525.6	50984.1	inf	0.1311811	0.300928	0.230367	0.14966	0.319045	583085	687835	136588	672632	516905	205049	225385.3
95	1	-1819.46	-1406.12	-413.332	0.0311134	0.763462	0.048159	0.00960892	0.141588	0.00606854	4267.2	10145	34175.2	43655.8	inf	0.1722808	0.324254	0.255385	0.166095	0.254266	506605	203983	656811	319426	797475	462797	221335.3
96	0	-1822.75	-1406.54	-416.212	0.00278748	0.523734	0.0795366	0.130737	0.220918	0.0422869	5558.13	17528.4	26592.8	60303.3	inf	0.1311811	0.300928	0.230367	0.14966	0.319045	599306	668128	136990	695994	508228	191526	271625.2
97	1	-1825.8	-1409.4	-416.41	0.0353513	0.784407	0.0494801	0.00987252	0.11414	0.00674968	4131.65	12972	36849.9	55184.7	inf	0.1722808	0.324254	0.255385	0.166095	0.254266	513820	212632	640079	306053	797475	434242	221335.3
98	0	-1821.09	-1405.28	-415.81	0.00278748	0.523734	0.0795366	0.130737	0.220918	0.0422869	4220.24	15747.6	25531.2	54825.2	inf	0.1311811	0.302644	0.231681	0.144811	0.320864	564189	657634	136990	695994	497185	198830	239252.4
99	1	-1829.42	-1411.51	-417.911	0.0346091	0.767939	0.0611161	0.00925483	0.111744	0.0153379	6606.22	15682.1	33803.5	63054.8	inf	0.08093856	0.337689	0.265967	0.131542	0.264801	514257	207517	619463	293703	760899	434242	233740.4
100	0	-1819.21	-1405.63	-413.581	0.00283898	0.514934	0.0810062	0.133153	0.225	0.0430682	5086.86	10056.9	18512.4	30316	inf	0.1311811	0.345354	0.264377	0.165247	0.225023	537676	669857	133858	746950	506250	199446	239973
