Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_invar	pi[1]	pi[2]	pi[3]	pi[4]	pop_size	root_height
110	-1720.42	-1400.6	-319.817	0.00957089	0.770838	0.0293941	0.0105526	0.134147	0.0454975	0.1834477	0.313603	0.273931	0.13431	0.278155	89742.47	165336
111	-1717.8	-1400.54	-317.26	0.0114403	0.791289	0.0260157	0.0122573	0.118729	0.0402683	0.1747356	0.313603	0.273931	0.13431	0.278155	94557.89	120827.4
112	-1722.2	-1404.29	-317.911	0.016024	0.693156	0.0509491	0.0171684	0.1663	0.0564024	0.1747356	0.313603	0.273931	0.13431	0.278155	114403.1	145456.2
113	-1729.2	-1405.91	-323.286	0.0327958	0.681342	0.0500807	0.0168757	0.163465	0.055441	0.1747356	0.308318	0.286169	0.132047	0.273467	111946.2	159743
114	-1733.08	-1406.18	-326.902	0.0320444	0.66573	0.0489332	0.0394022	0.15972	0.0541707	0.3177989	0.306212	0.284214	0.131145	0.27843	110360.5	237945.9
115	-1725.97	-1403.81	-322.159	0.026273	0.792619	0.0294274	0.0214426	0.0976605	0.0325771	0.3177989	0.306212	0.284214	0.131145	0.27843	102997.4	214553.8
116	-1722.04	-1401.37	-320.667	0.0260464	0.785784	0.0291736	0.0212577	0.0968184	0.0409196	0.05151844	0.306538	0.283451	0.131284	0.278727	96044.84	161293.3
117	-1725.07	-1403.24	-321.835	0.0121228	0.787416	0.0292342	0.0332027	0.0970195	0.0410046	0.07526563	0.331667	0.22471	0.142047	0.301576	103123.8	218615.7
118	-1727.15	-1405.95	-321.2	0.0212285	0.651274	0.0511928	0.058142	0.144134	0.0740279	0.2000914	0.332346	0.22517	0.140291	0.302193	101823.7	237368.7
119	-1728.3	-1405.42	-322.884	0.0166355	0.706321	0.0231689	0.0455624	0.150301	0.0580111	0.2000914	0.332346	0.22517	0.140291	0.302193	102478.2	237368.7
120	-1741.63	-1411.99	-329.633	0.0141374	0.688543	0.0225858	0.0444156	0.144097	0.0862212	0.2000914	0.332346	0.22517	0.140291	0.302193	116531.2	353070.6
121	-1744.77	-1411.47	-333.303	0.0133927	0.652271	0.017856	0.041485	0.136506	0.13849	0.4094311	0.334932	0.226922	0.133602	0.304545	115305	234332.3
122	-1726.14	-1408.32	-317.815	0.0134201	0.653605	0.0178926	0.0395246	0.136785	0.138773	0.4094311	0.334932	0.226922	0.133602	0.304545	115734.3	159873.7
123	-1714.46	-1408.54	-305.917	0.0134835	0.656696	0.0179772	0.0349819	0.137432	0.139429	0.4094311	0.326344	0.247008	0.129913	0.296735	70394.91	101132.5
124	-1731.63	-1405.58	-326.046	0.0157694	0.664627	0.0181943	0.0182055	0.142091	0.141113	0.1480219	0.31536	0.238694	0.159198	0.286748	127946.1	198530.5
125	-1716.83	-1406.57	-310.266	0.0123318	0.759729	0.0142281	0.0142368	0.0891228	0.110352	0.1480219	0.31066	0.25004	0.156825	0.282475	74793.5	113686.1
126	-1735.43	-1404.69	-330.738	0.0142918	0.636895	0.0153809	0.0142475	0.191295	0.12789	0.1480219	0.31066	0.25004	0.156825	0.282475	119456.5	235228.7
