Iteration	Replicate_ID	Posterior	Likelihood	Prior	pop_size[1]	pop_size[2]	pop_size[3]	pop_size[4]	pop_size[5]	pop_size[6]
196	0	-1816.09	-1402.41	-413.679	417521	806966	92073.7	819579	323125	116315
197	1	-1812.58	-1404.58	-408.002	505968	148027	477516	259978	619552	372876
198	0	-1812.01	-1400.07	-411.946	410349	806966	91609	810461	309831	115370
199	1	-1813.01	-1404.09	-408.925	490522	154212	456679	248700	591369	390418
200	0	-1807.15	-1397.37	-409.783	383812	814550	99736.7	810461	316463	112372
201	1	-1812.29	-1404.86	-407.424	513494	156612	452978	269455	511145	386336
202	0	-1807.99	-1398.32	-409.673	418819	832576	93848.4	741945	269963	112372
203	1	-1823.9	-1410.36	-413.542	513494	145301	491245	247040	511145	387154
204	0	-1812.01	-1399.92	-412.094	386679	845583	101284	678442	252666	112372
205	1	-1818.4	-1407.85	-410.549	511188	154593	491245	247040	470071	380729
206	0	-1797.47	-1392.39	-405.08	385285	839489	122136	678442	230510	122434
207	1	-1815.39	-1406.94	-408.449	596389	164390	535180	278938	467884	348244
208	0	-1803.98	-1397.53	-406.458	385285	778821	122136	621921	204703	119734
209	1	-1819.29	-1408.18	-411.109	548370	181166	535180	267529	534455	380290
210	0	-1799.3	-1393.63	-405.671	362573	764017	130554	638318	220720	112539
211	1	-1822.26	-1407.15	-415.111	550547	181166	558845	278076	635013	353123
212	0	-1800.45	-1393.19	-407.259	421404	753292	135231	638459	221957	104369
213	1	-1822.09	-1409.5	-412.593	519588	189443	592710	278076	638841	322452
214	0	-1802.6	-1394.46	-408.14	421854	742518	135231	664687	192976	113007
215	1	-1825.74	-1413.34	-412.402	519588	204792	739956	297217	670369	261254
216	0	-1800.2	-1391.86	-408.343	501884	748462	135231	651554	192976	121593
217	1	-1827.24	-1414.23	-413.006	548168	252648	739956	297217	573559	228692
218	0	-1800.87	-1392.61	-408.263	518149	719680	129267	681525	212730	122885
219	1	-1819.85	-1408.36	-411.489	570852	275689	702286	289636	531918	207289
220	0	-1810.42	-1396.45	-413.97	554885	651470	129267	619468	196457	148801
221	1	-1819.32	-1406.69	-412.634	572198	255921	796304	268411	576178	207289
222	0	-1807.73	-1395.53	-412.201	535430	588547	125521	562774	212436	137228
223	1	-1818.69	-1404.48	-414.209	622185	270502	778758	240265	576178	207289
224	0	-1807.23	-1395.48	-411.748	480858	588547	114638	534270	214457	128242
225	1	-1818.93	-1404.29	-414.641	622185	300901	751481	242598	610891	207289
226	0	-1801.65	-1394.61	-407.034	441097	609998	114160	509111	186294	136791
227	1	-1818.35	-1405.51	-412.838	580380	320814	737494	262698	570533	224351
228	0	-1800.32	-1394.82	-405.502	441024	557224	118131	460044	181438	113162
229	1	-1819.18	-1406.23	-412.954	570582	323109	737494	262698	469720	217363
230	0	-1800.69	-1394.57	-406.121	438511	578741	123174	360827	169145	119800
231	1	-1819.1	-1406.07	-413.027	565362	312615	737494	298864	458481	234937
232	0	-1806.7	-1397.58	-409.115	335378	531738	102451	358795	179248	113795
233	1	-1820.11	-1408.6	-411.512	570805	320477	702362	300621	427856	211740
234	0	-1810.42	-1400.24	-410.175	349197	462350	94459.6	318057	129752	110992
235	1	-1816.86	-1406.6	-410.263	552532	340417	702362	360587	427856	203680
236	0	-1810.82	-1400.42	-410.401	352657	463440	93302.4	299470	141421	108524
237	1	-1828.56	-1413.34	-415.212	556449	338883	862733	360587	464012	203680
238	0	-1798.72	-1397.46	-401.255	352657	451508	93302.4	275209	141421	119353
