Iteration	Posterior	Likelihood	Prior	pop_size[1]	pop_size[2]	pop_size[3]	pop_size[4]	pop_size[5]	pop_size[6]
248	-1815.42	-1416.29	-399.123	282971	84197.5	274120	222285	91572.5	903195
249	-1813.49	-1414.08	-399.409	258306	73082.5	284603	272261	110597	895937
250	-1812.24	-1413.59	-398.648	217670	60383.6	284603	306906	84955.7	868074
251	-1807.5	-1414.91	-392.595	199716	60383.6	322219	310088	72636.7	618574
252	-1806.26	-1414.39	-391.863	208132	45059.4	322219	380770	94636.1	618527
253	-1806.67	-1413.18	-393.486	208132	45059.4	298916	380392	94636.1	599425
254	-1810.42	-1414.08	-396.339	208132	39723.2	273680	373662	105550	590315
255	-1814.63	-1415.41	-399.22	208132	38658.7	273680	302926	97918.8	683282
256	-1803.41	-1410.04	-393.368	205967	33929.7	314728	347975	90610.6	583930
257	-1804.52	-1409.97	-394.55	198384	33708.3	314728	392617	81443.1	607925
258	-1812.15	-1408.46	-403.692	198384	30784.1	391152	353563	74898.2	669800
259	-1793.77	-1406.18	-387.591	205013	31202.2	330869	301630	74898.2	616407
260	-1800.41	-1407.05	-393.363	188629	30051.6	368961	259559	89791.4	577948
261	-1794.34	-1406.02	-388.322	195646	23737	366841	247017	77239.7	617684
262	-1793.19	-1404.48	-388.708	155242	21930.8	331333	220159	97460.4	617684
263	-1793.04	-1403.54	-389.499	173333	22339.8	361689	206182	96137.4	640389
264	-1794.66	-1404.47	-390.191	173333	22360.1	371230	267824	91616.9	653696
265	-1795	-1401.32	-393.682	182046	23663.4	437638	353093	84545.9	697305
266	-1798.88	-1402.73	-396.142	248676	23839.4	437638	410873	120008	745721
267	-1801.14	-1406.96	-394.186	277464	20947.8	390868	410873	132344	664506
268	-1813.6	-1414.61	-398.987	310091	20947.8	402290	391526	132617	639814
269	-1801.09	-1409.11	-391.972	291471	17710.9	493638	338205	120557	689210
270	-1799.62	-1407.74	-391.884	262000	14197.5	568243	338205	123261	689210
271	-1802.28	-1411.3	-390.98	220390	14571.2	581759	348095	123261	761449
272	-1797.81	-1409.38	-388.432	217743	14571.2	558033	372350	147386	623595
273	-1804.77	-1408.8	-395.971	254067	15489.7	534541	379096	161998	694261
274	-1802.86	-1411.81	-391.055	254067	12623.1	431698	297551	161998	828486
275	-1799.8	-1409.52	-390.282	236589	15230.9	495916	297551	150284	815080
276	-1804.55	-1410.88	-393.668	224282	11946.6	425002	297551	157134	640929
277	-1799.18	-1408.63	-390.549	196553	11901.7	449015	283497	144678	653785
278	-1798.44	-1407.45	-390.988	196794	11901.7	449015	283497	151587	616981
279	-1810.29	-1412.1	-398.197	187941	10285.4	496721	316263	178663	604880
280	-1800.15	-1412.41	-387.739	168372	10285.4	515054	312661	154070	513486
281	-1815.95	-1416.34	-399.613	168372	10927.2	515054	322073	154070	552288
282	-1797.02	-1409.1	-387.927	153873	12136.8	360506	275394	154070	429070
283	-1798.19	-1409.27	-388.917	166078	10785.2	360506	285465	162782	438836
284	-1792.16	-1402.83	-389.333	198001	10235.3	347232	298778	131516	438836
285	-1789.95	-1400.89	-389.066	186332	8174.72	356177	258433	131516	576898
286	-1791.52	-1401.54	-389.978	175821	9721.17	308762	282962	133806	564715
287	-1786.32	-1400.13	-386.183	212419	10741.2	261289	282129	102941	564715
288	-1787.82	-1401.14	-386.681	212419	11465.4	231759	282129	102941	500967
289	-1781.97	-1399.08	-382.881	212419	9414.81	231759	238091	112514	448167
290	-1783.6	-1400.55	-383.049	249529	7962.88	208785	169651	151637	527974
291	-1782.97	-1403.49	-379.476	242463	7962.88	185458	156318	140423	486306
292	-1803.98	-1412.61	-391.364	256231	8886.59	194166	165681	140423	407049
293	-1797.87	-1409.29	-388.584	256231	11660.6	203531	182949	152493	351955
294	-1805.96	-1410.74	-395.218	269798	11660.6	192880	173281	190529	242248
295	-1816.13	-1416.7	-399.434	294482	12400.9	175119	173281	175259	354814
296	-1802.48	-1414.98	-387.498	336253	11241.8	149261	148144	159826	346838
297	-1802	-1412.95	-389.05	353773	10288.5	149261	173098	151533	346838
298	-1799.25	-1413.3	-385.95	322361	9345.09	139086	177629	119239	318494
299	-1793.82	-1408.68	-385.14	356806	10394.7	131988	199973	96419.5	276452
300	-1794.81	-1409.65	-385.161	342720	10394.7	131988	188165	96419.5	323463
301	-1793.16	-1403.22	-389.938	199035	11619.1	189156	250352	96419.5	364110
302	-1788.02	-1400.49	-387.532	199035	10973.3	186578	384975	96501.1	305270
303	-1791.98	-1401.5	-390.478	203437	8649.95	211803	336316	103151	377597
304	-1795.15	-1402.05	-393.106	154978	7174.37	357981	295952	134652	417153
305	-1799.3	-1406.15	-393.154	184169	6443.91	387020	274048	169207	417153
306	-1788.11	-1403.42	-384.682	202858	6848.02	454708	215448	169207	369094
307	-1785.63	-1403.65	-381.985	150273	6848.02	454708	215677	169207	399178
308	-1796.14	-1403.72	-392.419	150273	7399.21	526946	204852	151591	424738
309	-1793.26	-1401.65	-391.612	134231	6311.5	526946	185880	205651	310486
