Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
430	-3293.399	-3301.138	7.738447	2.954022	0.1382395	0.0244206	0.017312	0.0345452	0.0263783	0.0385903	0.0532726	0.024815	0.0608503	0.0214213	0.011102	0.030674	0.0325837	0.0714398	0.0337907	0.02050432	0.05178607	0.00820914	0.549582	0.0023262	0.00580874	0.420944	0.0131294	12.30964	0.1429414	-3.887119	2.4223e-05	0.00728203	0.206136	3.78656	0.267011	0.313044	0.133857	0.286087	0.1947275	0.7340587
440	-3291.217	-3305.077	13.86032	2.616927	0.1828915	0.0204203	0.0239594	0.0323642	0.0162894	0.0351872	0.0380598	0.0185552	0.051135	0.0173087	0.0150513	0.05165	0.0183788	0.0649365	0.0246918	0.02939505	-0.09410355	0.00966082	0.401838	0.00169702	0.0149817	0.561762	0.0100598	13.91062	0.1189427	-3.526929	0.000278407	0.0245252	0.337557	3.63764	0.311008	0.291812	0.144475	0.252705	0.0248392	4.78851
450	-3290.567	-3301.708	11.14124	2.492645	0.1745754	0.0393224	0.0190274	0.0283211	0.0665706	0.0505651	0.0402183	0.0198713	0.0623656	0.0159503	0.0333292	0.0300913	0.0485567	0.0524822	0.0239524	0.03494134	0.1337991	0.0123792	0.520387	0.00114568	0.00474177	0.453033	0.00831377	14.65538	0.03111852	-3.354085	0.000194258	0.0205142	0.314148	3.66514	0.272079	0.316997	0.148606	0.262317	0.1649176	0.1886913
460	-3285.609	-3301.21	15.60114	2.35032	0.1861913	0.0367183	0.0240517	0.0249408	0.0143663	0.0394175	0.0449308	0.029099	0.0309266	0.0241174	0.0162341	0.0361451	0.0274134	0.0455559	0.0239524	0.03155343	-0.06905107	0.0174742	0.492385	0.0013794	0.0121396	0.461883	0.0147391	11.43212	0.1116755	-3.456073	0.000318288	0.0262083	0.34667	3.6268	0.270338	0.321682	0.123316	0.284664	0.04262441	2.619989
470	-3289.519	-3301.686	12.16775	2.381499	0.1892237	0.0233188	0.0202468	0.0334444	0.0117101	0.0314516	0.0967167	0.0513494	0.0507564	0.0268885	0.0303917	0.0345624	0.0292332	0.034786	0.0107987	0.03155343	0.01659444	0.0106149	0.533911	0.00498803	0.0127676	0.432883	0.00483511	9.424674	0.03504466	-3.456073	0.000358474	0.0277991	0.354953	3.61689	0.308031	0.29426	0.118917	0.278793	0.0516391	0.6786458
480	-3285.178	-3295.27	10.09157	2.261057	0.1479655	0.0348713	0.0253215	0.0470738	0.0135174	0.0405703	0.0581809	0.0434071	0.0373937	0.0173256	0.0338847	0.0411028	0.0353522	0.0728874	0.0392887	0.03511757	-0.1839107	0.00897897	0.531158	0.00465477	0.00810729	0.439735	0.00736521	9.443036	0.3005279	-3.349054	4.67587e-05	0.0101045	0.235681	3.75417	0.306162	0.29801	0.135295	0.260533	0.1166173	2.577045
490	-3284.08	-3297.264	13.18387	2.150744	0.2019786	0.036601	0.0248067	0.0396237	0.0283442	0.0460774	0.0716141	0.0288375	0.0451673	0.0233187	0.0220323	0.0330375	0.0303354	0.0537156	0.0153035	0.03551779	0.09977435	0.0178794	0.521185	0.0111142	0.0162005	0.428995	0.00462656	10.47065	0.06096548	-3.337722	0.00056837	0.0349247	0.388802	3.5757	0.302236	0.282863	0.13019	0.284711	0.1607398	0.3792805
500	-3297.13	-3300.643	3.513274	1.913838	0.1722396	0.0283216	0.024473	0.0354965	0.0459333	0.0736558	0.0571734	0.0365896	0.0487542	0.0255088	0.0201696	0.0771869	0.0882036	0.039791	0.0104643	0.03030766	-0.1999853	0.00911855	0.550595	0.00866935	0.00760009	0.41818	0.0058367	11.06433	0.4263461	-3.496355	0.000174483	0.0194494	0.307464	3.67291	0.294653	0.334158	0.117131	0.254058	0.2263608	1.88348
510	-3295.766	-3298.542	2.776844	1.922494	0.1614248	0.028823	0.0339436	0.0634984	0.0539188	0.0989218	0.0642756	0.074055	0.0462406	0.0277445	0.0447799	0.0720474	0.0492089	0.0308388	0.0405031	0.06389102	0.1117263	0.0129156	0.507465	0.0041045	0.00498339	0.454152	0.0163791	8.079535	0.2646458	-2.750576	0.000101919	0.0148895	0.275954	3.70905	0.297934	0.285095	0.148011	0.26896	0.3763721	0.7031495
520	-3295.452	-3302.245	6.79296	1.922494	0.1827622	0.0370457	0.0435627	0.0404501	0.0692482	0.0669863	0.0964313	0.0861721	0.0441965	0.0399684	0.0703237	0.0739502	0.052699	0.0228172	0.049982	0.05468999	0.1889103	0.0150294	0.46911	0.00898193	0.00207593	0.484183	0.0206204	6.31234	0.08293464	-2.906075	0.000276923	0.0244602	0.337198	3.63807	0.286221	0.294879	0.146562	0.272338	0.2718449	0.3050807
