Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
75	-3489.81	-3317.24	-172.572	4.429049	0.2494273	0.01659974	0.07072401	0.0256209	0.535083	0.00758565	0.00466207	0.410294	0.0167539	13.07724	0.07697489	3	39.88704	0.5075343	0.00208517	0.0662767	0.500276	3.43136	0.280253	0.302344	0.136968	0.280435	0.1476989	0.5211609
76	-3484.96	-3317.24	-167.718	5.085572	0.2556772	0.01706169	-0.004103478	0.0249627	0.521337	0.00836843	0.0045423	0.424466	0.0163235	13.07724	0.1699602	3	40.23617	0.5547742	0.00238697	0.0708194	0.513306	3.41349	0.280253	0.302344	0.136968	0.280435	0.1658567	1.024741
77	-3483.8	-3314.31	-169.484	5.416201	0.2841006	0.01596364	-0.03859332	0.0250157	0.52032	0.00838622	0.00455195	0.425368	0.0163582	13.71811	0.20445	3	40.46766	0.6484539	0.00409441	0.0921984	0.56811	3.3356	0.280253	0.302344	0.136968	0.280435	0.1658567	1.232691
78	-3481.8	-3312.56	-169.231	6.729787	0.2840937	0.01547323	0.02221961	0.0235241	0.489294	0.00506664	0.00526791	0.461464	0.0153828	13.71811	0.2100294	5	41.35012	0.5224453	0.00409393	0.0921931	0.568097	3.33562	0.277072	0.310265	0.135413	0.277251	0.232249	0.9043285
79	-3483.53	-3312.75	-170.773	6.729787	0.2844151	0.01547323	0.04195328	0.0235683	0.490214	0.00507617	0.00438547	0.462332	0.0144242	13.71811	0.2100294	5	40.6003	0.5224453	0.00411644	0.0924399	0.568677	3.33477	0.275288	0.314706	0.134541	0.275466	0.2519826	0.8335073
80	-3484.17	-3311.42	-172.744	5.103108	0.2854522	0.01337197	-0.08408764	0.0249583	0.454095	0.00537556	0.00464412	0.4896	0.0213273	16.04118	0.2699469	5	40.96539	0.5224453	0.00418959	0.093237	0.570543	3.33203	0.296124	0.289551	0.145085	0.26924	0.1858592	1.452427
81	-3482.6	-3312.67	-169.932	5.103108	0.2764256	0.0148635	0.002749362	0.0281406	0.469498	0.0055579	0.00557374	0.469179	0.0220507	15.07666	0.2325695	5	41.19461	0.6199021	0.00357824	0.0863318	0.554005	3.35609	0.296124	0.289551	0.145085	0.26924	0.2353188	0.9883164
82	-3482.11	-3313.08	-169.03	4.873418	0.2597939	0.01516036	0.09021131	0.0281406	0.469498	0.0055579	0.00557374	0.469179	0.0220507	15.07666	0.1724522	4	40.8918	0.4797442	0.00259998	0.0738485	0.521689	3.40186	0.290734	0.302482	0.142444	0.26434	0.2626635	0.6565518
83	-3485.2	-3312.84	-172.357	4.873418	0.2499005	0.01502782	0.0815112	0.0281731	0.470042	0.00391893	0.00606796	0.469722	0.0220762	15.07666	0.2104735	5	40.98222	0.4797442	0.00210712	0.0666181	0.501276	3.43	0.290734	0.302482	0.142444	0.26434	0.2919847	0.7208374
84	-3490.93	-3317.21	-173.714	6.459185	0.2474228	0.01573605	0.0726658	0.0313788	0.551199	0.0031176	0.0058978	0.390074	0.0183329	14.4149	0.1586275	4	40.28393	0.4797442	0.00199381	0.0648352	0.496019	3.43715	0.273325	0.284369	0.133915	0.308391	0.2312933	0.6858283
