Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
710	-3324.655	-3313.167	-11.48804	0.389273	0.2741036	0.1960811	-0.1332634	0.0272576	0.524695	0.00588857	0.0115863	0.425997	0.00457607	0.1472736	0.00343018	0.0845685	0.549639	3.36236	0.282843	0.321238	0.13873	0.257188	0.01401021	10.51188
720	-3321.942	-3311.085	-10.8566	0.3517349	0.1771961	0.2406651	-0.033211	0.0143988	0.558643	0.00442164	0.00705109	0.412574	0.00291126	0.03966703	0.000218385	0.0217417	0.321592	3.65645	0.272187	0.330973	0.131835	0.265005	0.006456024	6.144188
730	-3316.353	-3305.34	-11.0131	0.3438203	0.2268377	0.269752	0.02295001	0.0121161	0.532368	0.00809044	0.0120132	0.434402	0.00101114	0.004629439	0.00120203	0.0505503	0.450032	3.49822	0.295387	0.302022	0.142924	0.259666	0.02757945	0.1678583
740	-3316.539	-3305.343	-11.19618	0.3438203	0.1984184	0.2292473	-0.02196122	0.0202057	0.531305	0.014408	0.0136787	0.417361	0.00304226	0.05953886	0.000502752	0.032868	0.379517	3.58711	0.286522	0.310775	0.125136	0.277567	0.03757764	1.584423
750	-3318.869	-3308.22	-10.64909	0.3530855	0.196262	0.2065504	-0.03064997	0.0119056	0.486913	0.0172659	0.00871481	0.474146	0.00105485	0.04529571	0.000465739	0.0316472	0.373832	3.59406	0.292255	0.288678	0.143566	0.2755	0.01464574	3.092757
760	-3322.698	-3310.485	-12.21356	0.2552171	0.2527345	0.2828553	0.05913967	0.008032	0.415255	0.015926	0.00579472	0.553537	0.0014547	0.04982896	0.00224166	0.0686718	0.507217	3.42187	0.293601	0.285774	0.160038	0.260587	0.1089686	0.457278
770	-3317.142	-3305.563	-11.57928	0.2707972	0.2433324	0.2961884	0.06277805	0.00952249	0.630772	0.0101995	0.0114144	0.336748	0.00134419	0.002914687	0.00181544	0.0619188	0.487212	3.44905	0.286249	0.301799	0.121434	0.290517	0.06569274	0.04436848
780	-3322.707	-3311.749	-10.95886	0.3284967	0.2537755	0.2383809	0.04249992	0.013503	0.567718	0.00905071	0.015282	0.393413	0.00103344	0.008841586	0.00229241	0.0694298	0.50938	3.4189	0.26383	0.305199	0.11472	0.316251	0.05134151	0.1722113
790	-3331.214	-3316.235	-14.97811	0.3442695	0.2482106	0.2131263	-0.008648967	0.0178714	0.554725	0.0184283	0.0205768	0.387642	0.000756865	0.2714863	0.00202941	0.0654008	0.497697	3.43487	0.253945	0.322309	0.138413	0.285333	0.2628374	1.032906
800	-3319.292	-3306.684	-12.60741	0.3446507	0.2261127	0.2396386	-0.2408621	0.0103215	0.46626	0.0158741	0.00572113	0.501715	0.00010784	0.242643	0.00117881	0.0500669	0.448335	3.50042	0.304478	0.284976	0.142505	0.268041	0.001780899	136.2475
810	-3319.212	-3305.24	-13.97195	0.2771754	0.1968521	0.2645186	0.1372714	0.0167195	0.492197	0.0112363	0.00643451	0.472854	0.000559003	0.1173052	0.000475667	0.0319794	0.375392	3.59215	0.284955	0.322296	0.143299	0.24945	0.2545765	0.4607854
