Iteration	Replicate_ID	Posterior	Likelihood	Prior	kappa	omega	pi[1]	pi[2]	pi[3]	pi[4]
168	0	-4681.61	-4677.61	-4.00548	2.106442	0.02673524	0.209421	0.300802	0.247077	0.2427
169	0	-4684.98	-4681.49	-3.4897	2.212541	0.0340201	0.19978	0.315864	0.229457	0.254899
170	0	-4682.69	-4679.17	-3.52312	1.836378	0.02949049	0.202251	0.288682	0.253389	0.255678
171	0	-4680.51	-4676.86	-3.65206	1.983221	0.02946365	0.209517	0.306316	0.240995	0.243173
172	0	-4681.03	-4677.18	-3.84759	1.883472	0.02642081	0.212651	0.292717	0.250595	0.244036
173	0	-4685.1	-4681.74	-3.3553	1.557049	0.02853287	0.209829	0.287722	0.265296	0.237153
174	0	-4681.58	-4678.16	-3.42001	1.778427	0.0301078	0.204653	0.300316	0.243039	0.251993
175	0	-4685.21	-4681.7	-3.50383	1.659094	0.02792886	0.201517	0.288398	0.244647	0.265438
176	0	-4681.13	-4677.41	-3.7196	2.038214	0.02921903	0.212509	0.297545	0.251365	0.238581
177	0	-4681.39	-4677.87	-3.51877	1.663066	0.02780647	0.216382	0.293478	0.242757	0.247383
178	0	-4684.38	-4681.11	-3.26556	1.739833	0.0316027	0.21664	0.309053	0.249338	0.22497
179	0	-4682.83	-4679.4	-3.4232	2.088169	0.03351639	0.218945	0.304832	0.236927	0.239297
180	0	-4682.85	-4679.64	-3.20428	1.920403	0.0346189	0.214679	0.302911	0.245456	0.236953
181	0	-4685.69	-4682.31	-3.38457	2.27421	0.03633925	0.200977	0.313785	0.231416	0.253822
182	0	-4681.85	-4678.4	-3.45099	1.705807	0.02898551	0.215617	0.291294	0.254809	0.238281
183	0	-4685.26	-4681.53	-3.73847	1.891631	0.02762286	0.231157	0.291064	0.247491	0.230287
184	0	-4682.64	-4679.38	-3.26189	2.002674	0.03480407	0.216016	0.303505	0.234049	0.24643
185	0	-4681.66	-4677.92	-3.7468	1.808621	0.0267791	0.21709	0.309141	0.234397	0.239373
186	0	-4681.84	-4677.83	-4.01261	2.044435	0.02614457	0.212002	0.293864	0.252446	0.241688
187	0	-4681.45	-4677.78	-3.66753	1.73463	0.02691879	0.214471	0.304004	0.244376	0.237149
188	0	-4681.57	-4677.94	-3.63096	2.149846	0.03142037	0.210852	0.302023	0.232654	0.254471
189	0	-4680.74	-4677.18	-3.56183	2.055663	0.03130638	0.208858	0.299428	0.240341	0.251373
190	0	-4680.95	-4677.45	-3.50403	1.726602	0.02859703	0.213991	0.30161	0.244476	0.239923
191	0	-4680.82	-4677.41	-3.41432	1.935021	0.03188917	0.21329	0.296874	0.239966	0.24987
192	0	-4680.63	-4676.99	-3.64601	1.906282	0.02877677	0.208672	0.294629	0.250575	0.246124
193	0	-4681.57	-4677.65	-3.92676	1.915768	0.02591335	0.21712	0.304993	0.237364	0.240523
194	0	-4681.95	-4678.53	-3.41633	1.761394	0.02997061	0.221383	0.299138	0.230884	0.248595
195	0	-4681.99	-4678.22	-3.76687	2.225215	0.03048902	0.215065	0.302211	0.235049	0.247675
196	0	-4682.61	-4678.92	-3.68341	1.979494	0.0290646	0.202122	0.298647	0.257826	0.241405
197	0	-4683.8	-4680.45	-3.34988	1.944573	0.0328564	0.221517	0.304487	0.222522	0.251474
198	0	-4684.1	-4680.39	-3.70831	1.76871	0.02681189	0.216797	0.297999	0.222361	0.262843
199	0	-4684.16	-4680.64	-3.52246	1.697708	0.02810616	0.208519	0.294652	0.264824	0.232005
200	0	-4681.93	-4678.26	-3.67194	1.983888	0.02923944	0.21461	0.29075	0.234167	0.260473
201	0	-4681.15	-4677.61	-3.54648	1.95921	0.03048106	0.206683	0.293258	0.252252	0.247807
202	0	-4682.21	-4678.62	-3.5885	1.940422	0.02978159	0.202005	0.294148	0.25613	0.247717
203	0	-4682.48	-4678.83	-3.64353	1.94682	0.02920262	0.216607	0.307746	0.247213	0.228433
204	0	-4684.47	-4680.33	-4.14253	2.038419	0.02485544	0.201666	0.311253	0.240885	0.246197
205	0	-4681.3	-4677.48	-3.81654	2.091395	0.02862192	0.210247	0.308485	0.232236	0.249033
206	0	-4685.01	-4680.8	-4.2091	1.785046	0.02240548	0.208132	0.298555	0.239337	0.253976
207	0	-4682.31	-4678.75	-3.55411	1.76948	0.02846473	0.211837	0.281643	0.252564	0.253956
208	0	-4681.19	-4677.67	-3.51806	2.049674	0.03180428	0.212975	0.308425	0.233937	0.244662
209	0	-4684.58	-4681.29	-3.28364	1.830763	0.03242038	0.218671	0.278313	0.24865	0.254366
210	0	-4681.14	-4677.72	-3.41522	1.756735	0.02993444	0.213618	0.305611	0.242354	0.238417
211	0	-4683.04	-4678.92	-4.11685	2.153291	0.02600736	0.213977	0.292596	0.236658	0.256769
212	0	-4685.84	-4682.59	-3.24629	1.905541	0.033829	0.202307	0.284527	0.243325	0.26984
213	0	-4682.28	-4678.95	-3.33278	1.761055	0.03098927	0.209466	0.309299	0.228944	0.252291
214	0	-4682.4	-4679.03	-3.36974	1.675746	0.02961231	0.21963	0.288371	0.240554	0.251444
215	0	-4680.52	-4676.78	-3.73568	2.016497	0.02882634	0.213258	0.302972	0.242182	0.241588
216	0	-4681.61	-4677.7	-3.90385	1.88632	0.02588867	0.21222	0.291343	0.254165	0.242272
217	0	-4682.63	-4678.59	-4.04236	2.296286	0.02797072	0.212736	0.297996	0.24285	0.246418
218	0	-4683.45	-4679.85	-3.60416	1.733627	0.02757265	0.216019	0.311157	0.221757	0.251066
219	0	-4682.5	-4678.5	-4.00679	1.806736	0.02427851	0.213879	0.304941	0.239902	0.241277
220	0	-4681.72	-4678.11	-3.61217	1.697172	0.02714387	0.219982	0.297729	0.24561	0.236679
221	0	-4681.66	-4677.88	-3.77936	1.881385	0.02709889	0.212578	0.304059	0.228588	0.254776
222	0	-4684.3	-4680.49	-3.80901	2.117365	0.02895011	0.202942	0.289325	0.266517	0.241216
223	0	-4681.52	-4677.82	-3.69986	1.926748	0.0283717	0.206079	0.292378	0.256274	0.245269
224	0	-4682.69	-4678.63	-4.05986	2.199926	0.02696432	0.212131	0.291994	0.239592	0.256283
225	0	-4682.24	-4678.46	-3.78372	1.905595	0.02727204	0.217277	0.297394	0.254306	0.231023
226	0	-4682.83	-4679.36	-3.47659	1.695283	0.02858928	0.21394	0.3013	0.226426	0.258334
227	0	-4682.83	-4679.36	-3.47619	1.859613	0.03029087	0.219846	0.286168	0.257445	0.236541
228	0	-4682.65	-4679.29	-3.36435	1.929947	0.03249193	0.216361	0.29475	0.254185	0.234704
229	0	-4681.72	-4678.04	-3.68494	1.76535	0.0270217	0.205357	0.296943	0.247246	0.250454
230	0	-4682.61	-4678.8	-3.80486	1.897392	0.0269784	0.206986	0.286368	0.261886	0.24476
231	0	-4684.26	-4681.16	-3.09839	1.917157	0.03617729	0.202351	0.302745	0.245097	0.249807
232	0	-4683.26	-4679.36	-3.89924	2.049615	0.02734523	0.211315	0.313787	0.223272	0.251625
233	0	-4684.5	-4680.64	-3.86107	2.065025	0.02788983	0.208335	0.275894	0.255734	0.260037
234	0	-4680.67	-4677.2	-3.46985	1.930483	0.03112736	0.214207	0.305564	0.237983	0.242246
235	0	-4684.44	-4681.21	-3.23424	2.088487	0.03632003	0.208934	0.302453	0.250696	0.237917
236	0	-4684.03	-4680.43	-3.60722	1.550339	0.02584214	0.214774	0.292342	0.235819	0.257065
237	0	-4688.04	-4684.26	-3.78386	2.462085	0.03267703	0.215422	0.284731	0.260578	0.239269
238	0	-4681.87	-4678.58	-3.28916	1.890901	0.03305462	0.209698	0.307452	0.244056	0.238794
239	0	-4685.3	-4681.55	-3.75303	2.145897	0.02987556	0.222893	0.315428	0.23301	0.228669
240	0	-4682.85	-4679.3	-3.54535	1.625371	0.02716128	0.222945	0.296044	0.246756	0.234255
241	0	-4684.35	-4681.19	-3.15484	1.896033	0.03503871	0.209383	0.299271	0.227784	0.263562
242	0	-4682.67	-4679.53	-3.14413	1.804518	0.0340289	0.208748	0.30883	0.234717	0.247705
243	0	-4682.93	-4678.91	-4.0156	1.928886	0.02517075	0.219327	0.30251	0.245898	0.232265
244	0	-4681.9	-4678.45	-3.44234	2.033532	0.03262661	0.205389	0.309871	0.233119	0.251621
245	0	-4681.47	-4677.49	-3.98133	2.141325	0.02728274	0.213003	0.302344	0.240574	0.24408
246	0	-4683.69	-4680.02	-3.66776	2.256749	0.03206889	0.214423	0.287579	0.250112	0.247885
247	0	-4683.75	-4680.56	-3.19195	1.988228	0.03567068	0.202154	0.307321	0.237724	0.252801
248	0	-4682.41	-4678.93	-3.48015	1.800087	0.02962029	0.2063	0.291455	0.26037	0.241874
249	0	-4683.93	-4679.74	-4.18439	1.903597	0.02346588	0.214713	0.307242	0.231323	0.246722
250	0	-4684.24	-4680.32	-3.92691	1.823205	0.02514185	0.216078	0.309196	0.221695	0.253031
251	0	-4680.4	-4676.86	-3.53066	1.883125	0.02988199	0.21146	0.305709	0.23728	0.24555
252	0	-4682.2	-4678.77	-3.42845	1.722158	0.02941453	0.204149	0.304297	0.242402	0.249152
253	0	-4681.4	-4677.51	-3.89446	2.087037	0.02772784	0.211601	0.300688	0.248869	0.238842
254	0	-4683.05	-4679.69	-3.36346	1.564912	0.02852298	0.218161	0.301584	0.232048	0.248207
255	0	-4680.9	-4677.27	-3.62759	1.959546	0.02951396	0.211774	0.305	0.230401	0.252826
256	0	-4683.08	-4679.13	-3.95688	1.767539	0.02441524	0.220582	0.297714	0.232287	0.249417
257	0	-4681.83	-4678.56	-3.27267	1.975458	0.03430907	0.211078	0.30408	0.23836	0.246483
