Iteration	Posterior	Likelihood	Prior	kappa	omega	pi[1]	pi[2]	pi[3]	pi[4]
2300	-4682.61	-4678.8	-3.80486	1.897392	0.0269784	0.206986	0.286368	0.261886	0.24476
2310	-4684.26	-4681.16	-3.09839	1.917157	0.03617729	0.202351	0.302745	0.245097	0.249807
2320	-4683.26	-4679.36	-3.89924	2.049615	0.02734523	0.211315	0.313787	0.223272	0.251625
2330	-4684.5	-4680.64	-3.86107	2.065025	0.02788983	0.208335	0.275894	0.255734	0.260037
2340	-4680.67	-4677.2	-3.46985	1.930483	0.03112736	0.214207	0.305564	0.237983	0.242246
2350	-4684.44	-4681.21	-3.23424	2.088487	0.03632003	0.208934	0.302453	0.250696	0.237917
2360	-4684.03	-4680.43	-3.60722	1.550339	0.02584214	0.214774	0.292342	0.235819	0.257065
2370	-4688.04	-4684.26	-3.78386	2.462085	0.03267703	0.215422	0.284731	0.260578	0.239269
2380	-4681.87	-4678.58	-3.28916	1.890901	0.03305462	0.209698	0.307452	0.244056	0.238794
2390	-4685.3	-4681.55	-3.75303	2.145897	0.02987556	0.222893	0.315428	0.23301	0.228669
2400	-4682.85	-4679.3	-3.54535	1.625371	0.02716128	0.222945	0.296044	0.246756	0.234255
2410	-4684.35	-4681.19	-3.15484	1.896033	0.03503871	0.209383	0.299271	0.227784	0.263562
2420	-4682.67	-4679.53	-3.14413	1.804518	0.0340289	0.208748	0.30883	0.234717	0.247705
2430	-4682.93	-4678.91	-4.0156	1.928886	0.02517075	0.219327	0.30251	0.245898	0.232265
2440	-4681.9	-4678.45	-3.44234	2.033532	0.03262661	0.205389	0.309871	0.233119	0.251621
2450	-4681.47	-4677.49	-3.98133	2.141325	0.02728274	0.213003	0.302344	0.240574	0.24408
2460	-4683.69	-4680.02	-3.66776	2.256749	0.03206889	0.214423	0.287579	0.250112	0.247885
2470	-4683.75	-4680.56	-3.19195	1.988228	0.03567068	0.202154	0.307321	0.237724	0.252801
2480	-4682.41	-4678.93	-3.48015	1.800087	0.02962029	0.2063	0.291455	0.26037	0.241874
2490	-4683.93	-4679.74	-4.18439	1.903597	0.02346588	0.214713	0.307242	0.231323	0.246722
2500	-4684.24	-4680.32	-3.92691	1.823205	0.02514185	0.216078	0.309196	0.221695	0.253031
2510	-4680.4	-4676.86	-3.53066	1.883125	0.02988199	0.21146	0.305709	0.23728	0.24555
2520	-4682.2	-4678.77	-3.42845	1.722158	0.02941453	0.204149	0.304297	0.242402	0.249152
2530	-4681.4	-4677.51	-3.89446	2.087037	0.02772784	0.211601	0.300688	0.248869	0.238842
2540	-4683.05	-4679.69	-3.36346	1.564912	0.02852298	0.218161	0.301584	0.232048	0.248207
2550	-4680.9	-4677.27	-3.62759	1.959546	0.02951396	0.211774	0.305	0.230401	0.252826
2560	-4683.08	-4679.13	-3.95688	1.767539	0.02441524	0.220582	0.297714	0.232287	0.249417
2570	-4681.83	-4678.56	-3.27267	1.975458	0.03430907	0.211078	0.30408	0.23836	0.246483
2580	-4680.3	-4676.64	-3.66114	1.951406	0.02904545	0.215115	0.299907	0.24152	0.243459
2590	-4682.6	-4678.98	-3.62597	2.214765	0.032173	0.214957	0.295825	0.246895	0.242323
2600	-4681.56	-4677.92	-3.64114	1.73211	0.02716882	0.211979	0.302769	0.232966	0.252286
2610	-4684.53	-4681.24	-3.28938	1.746341	0.03137205	0.199451	0.303578	0.236324	0.260647
2620	-4683.95	-4680.32	-3.62435	1.868474	0.02865188	0.218875	0.28828	0.264493	0.228352
2630	-4684.48	-4680.96	-3.51273	1.766779	0.02890303	0.202865	0.281045	0.253112	0.262978
2640	-4682.94	-4679.08	-3.85656	1.891692	0.02640224	0.209436	0.316189	0.230303	0.244073
2650	-4682.63	-4678.57	-4.05742	2.106326	0.02621172	0.215552	0.309244	0.234498	0.240707
