Iteration	Posterior	Likelihood	Prior	kappa	omega_background	omega_focal	omega_scalar	pi[1]	pi[2]	pi[3]	pi[4]	prob_inc
1510	-0.504583	0	-0.504583	0.8314391	0.7294699	0.7096057	0.9727689	0.229439	0.562164	0.0950556	0.113341	0
1520	-2.15226	0	-2.15226	1.663211	1.595439	1.551993	0.9727689	0.170484	0.535252	0.240408	0.0538562	0
1530	-0.440425	0	-0.440425	0.944367	0.2615397	0.2544177	0.9727689	0.120753	0.367665	0.0638696	0.447713	0
1540	-0.0456443	0	-0.0456443	0.3047965	0.5624537	0.5471375	0.9727689	0.0641952	0.440499	0.341713	0.153593	0
1550	-0.592413	0	-0.592413	0.9369562	0.7115367	0.6921608	0.9727689	0.126769	0.282473	0.18056	0.410198	0
1560	-0.380126	0	-0.380126	0.8511288	0.2404039	0.2338575	0.9727689	0.243828	0.246539	0.445223	0.0644103	0
1570	-1.04758	0	-1.04758	1.500449	0.224634	0.218517	0.9727689	0.45703	0.171234	0.119746	0.25199	0
1580	-5.56597	0	-5.56597	0.01558858	1.131828	1.101007	0.9727689	0.070699	0.38233	0.139805	0.407166	0
1590	-0.748198	0	-0.748198	1.30671	0.3266211	0.3177268	0.9727689	0.168039	0.184769	0.588724	0.058468	0
1600	-2.11722	0	-2.11722	2.071233	1.187032	1.154707	0.9727689	0.105514	0.502496	0.0576829	0.334307	0
1610	-1.6477	0	-1.6477	0.2198999	2.173232	2.114053	0.9727689	0.787059	0.14453	0.0667217	0.00168871	0
1620	-1.84391	0	-1.84391	1.425917	1.500699	1.459834	0.9727689	0.330599	0.0954884	0.572587	0.00132561	0
1630	-5.26353	0	-5.26353	4.23467	3.201809	3.114621	0.9727689	0.040257	0.111713	0.82444	0.0235905	0
1640	-4.04394	0	-4.04394	2.797895	2.783864	2.708056	0.9727689	0.301971	0.0178893	0.366143	0.313996	0
1650	-4.52476	0	-4.52476	2.779038	3.507776	3.412256	0.9727689	0.326686	0.126636	0.252255	0.294423	0
1660	-4.88399	0	-4.88399	2.972124	3.86132	3.756172	0.9727689	0.46188	0.0641931	0.238343	0.235584	0
1670	-4.38642	0	-4.38642	2.875314	3.192729	3.105788	0.9727689	0.492216	0.05131	0.405102	0.0513726	0
1680	-4.72257	0	-4.72257	4.41137	2.324375	2.26108	0.9727689	0.344737	0.119218	0.286756	0.249289	0
1690	-3.88991	0	-3.88991	4.064225	1.585102	1.541938	0.9727689	0.32584	0.21456	0.220441	0.239159	0
1700	-0.88693	0	-0.88693	1.355759	0.5733097	0.5576979	0.9727689	0.703593	0.0996101	0.117439	0.0793576	0
1710	-1.45699	0	-1.45699	1.933433	0.62745	0.6103639	0.9727689	0.211664	0.555924	0.195119	0.0372922	0
