Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	extinction[1]	extinction[2]	rate_category_prior[1]	rate_category_prior[2]	speciation[1]	speciation[2]	transition_rates[1]	transition_rates[2]
115	1	-1901.861	-1893.711	-8.149516	1.32432e-05	0.227604	3.96966e-06	0.130034	0.389485	0.610515	1.72129e-05	0.357638	0.042506	0.167044
116	0	-1708.178	-1713.813	5.635075	0.215527	0.00978421	1.67103e-05	11.1484	0.0493053	0.950695	0.215544	11.1582	0.0231278	0.000240407
117	1	-1899.34	-1889.396	-9.943576	1.40294e-05	0.250169	3.41508e-06	0.105719	0.389485	0.610515	1.74445e-05	0.355888	0.0427247	0.179084
118	0	-1708.358	-1714.307	5.948532	0.201189	0.00978421	1.57754e-05	11.1484	0.0493053	0.950695	0.201204	11.1582	0.022058	0.000240407
119	1	-1901.002	-1891.436	-9.566108	1.30146e-05	0.23932	4.28206e-06	0.116568	0.752736	0.247264	1.72967e-05	0.355888	0.0409319	0.176913
120	0	-1708.684	-1714.208	5.524176	0.209085	0.00978421	1.82075e-05	11.1484	0.0493053	0.950695	0.209103	11.1582	0.0234344	0.000250904
121	1	-1901.958	-1892.657	-9.30133	1.22683e-05	0.238652	4.69733e-06	0.117127	0.768368	0.231632	1.69656e-05	0.355779	0.0389729	0.176913
122	0	-1710.528	-1715.428	4.900501	0.236721	0.00978421	1.98066e-05	11.1484	0.0493053	0.950695	0.236741	11.1582	0.0257936	0.00026757
123	1	-1900.046	-1886.288	-13.758	9.21365e-06	0.226406	4.96238e-06	0.125511	0.768368	0.231632	1.4176e-05	0.351917	0.0395861	0.202173
124	0	-1711.783	-1716.626	4.843241	0.23046	0.00978421	1.79416e-05	11.1484	0.0493053	0.950695	0.230478	11.1582	0.0267836	0.000324089
125	1	-1895.567	-1877.925	-17.6413	1.00754e-05	0.253386	4.13857e-06	0.115623	0.898515	0.101485	1.4214e-05	0.369009	0.04646	0.218733
126	0	-1712.438	-1716.48	4.041251	0.205841	0.00978421	1.96794e-05	11.1484	0.0493053	0.950695	0.205861	11.1582	0.031487	0.000325424
127	1	-1893.459	-1869.118	-24.34086	8.62916e-06	0.274677	5.28096e-06	0.116806	0.640145	0.359855	1.39101e-05	0.391483	0.0529143	0.248934
128	0	-1712.269	-1716.492	4.222923	0.209109	0.00978421	1.76835e-05	11.1484	0.0493053	0.950695	0.209126	11.1582	0.0309636	0.000331317
129	1	-1889.876	-1867.289	-22.58689	8.20962e-06	0.273132	5.12224e-06	0.0966543	0.747669	0.252331	1.33319e-05	0.369786	0.0599569	0.233685
