Iteration	Posterior	Likelihood	Prior	extirpation_rate	log10_rate_bg	rate_bg
2570	-56.3938	-53.6652	-2.7286	1.374651	-0.7670497	0.1709819
2580	-56.1314	-54.2504	-1.88099	0.8721077	-0.7055452	0.1969948
2590	-56.5337	-53.6259	-2.90782	1.462392	-0.7813982	0.1654253
2600	-58.9609	-55.5507	-3.41021	1.701096	-1.080984	0.08298807
2610	-56.7625	-53.8543	-2.90817	1.462562	-0.5944009	0.254448
2620	-57.2587	-54.9499	-2.30879	1.156281	-0.5126423	0.3071551
2630	-56.2566	-53.7722	-2.4844	1.250676	-0.6964304	0.201173
2640	-56.457	-53.5884	-2.86857	1.443347	-0.6851166	0.2064826
2650	-57.1444	-53.2203	-3.92417	1.941414	-0.6530738	0.2222932
2660	-56.1523	-54.1037	-2.04862	0.9998774	-0.6882631	0.204992
2670	-57.4	-53.8425	-3.55751	1.770095	-0.8766	0.1328618
2680	-57.6033	-55.1955	-2.40787	1.210249	-1.027377	0.09389085
2690	-56.7145	-53.4629	-3.25158	1.626454	-0.6577973	0.2198886
2700	-56.7671	-53.3631	-3.40396	1.698164	-0.6911804	0.2036196
2710	-57.4259	-55.2859	-2.13998	1.058156	-0.5007941	0.3156501
2720	-56.7651	-53.8279	-2.93723	1.476607	-0.8439856	0.1432235
2730	-56.5689	-53.7297	-2.83923	1.429051	-0.6325124	0.2330707
2740	-57.1605	-55.2363	-1.92422	0.5195047	-0.6502089	0.2237645
2750	-57.0373	-55.195	-1.84229	0.8338584	-0.5592126	0.2759227
2760	-57.4816	-53.1691	-4.3125	2.123444	-0.6156819	0.2422803
2770	-59.0229	-57.2045	-1.8184	0.585994	-1.202817	0.06268774
2780	-59.1746	-53.9207	-5.25395	2.573595	-0.4313285	0.3704004
2790	-56.3245	-53.6584	-2.66607	1.343489	-0.730472	0.1860064
2800	-58.1512	-54.3949	-3.75631	1.862998	-0.4567821	0.3493155
2810	-57.9005	-55.8536	-2.04686	0.4729783	-1.057362	0.08762693
2820	-57.6478	-54.4756	-3.17222	1.588919	-0.9589969	0.1099014
2830	-56.1756	-54.2108	-1.96478	0.9408524	-0.6814916	0.2082133
2840	-56.5501	-54.0283	-2.52188	1.270151	-0.8590746	0.1383329
2850	-56.3794	-54.6114	-1.768	0.6976665	-0.880545	0.1316604
2860	-56.7178	-54.5308	-2.18693	1.086453	-0.5749341	0.2661129
2870	-56.897	-53.6819	-3.2151	1.60922	-0.5955835	0.2537561
2880	-56.8668	-55.0312	-1.83561	0.8265199	-0.9800562	0.1046993
2890	-57.0627	-53.2387	-3.82402	1.894622	-0.7237266	0.188918
2900	-58.8136	-53.3708	-5.44279	2.666024	-0.4920687	0.3220559
2910	-56.8712	-55.0954	-1.77581	0.7328972	-0.5974181	0.2526864
2920	-56.375	-54.5177	-1.85727	0.8494209	-0.6454383	0.226236
2930	-56.5364	-53.5824	-2.95396	1.484677	-0.6645419	0.2165001
2940	-57.4775	-53.0528	-4.42472	2.176337	-0.6857864	0.2061644
2950	-56.5739	-54.0744	-2.49958	1.258589	-0.8673986	0.1357067
2960	-56.1983	-54.0097	-2.18858	1.087429	-0.8123049	0.1540618
2970	-56.2339	-53.9707	-2.26321	1.130685	-0.8123985	0.1540286
2980	-57.1568	-54.847	-2.30984	1.156867	-0.9818442	0.1042691
2990	-57.5916	-55.6901	-1.90151	0.8902985	-1.066536	0.08579547
3000	-62.5575	-54.7608	-7.79666	3.901056	-0.2795007	0.5254112
