Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	extirpation_rate	p_allopatry	p_sympatry	rate_bg
1500	-54.5739	-46.6619	-7.91201	0.0845254	0.915475	0.01220241	2.68925	1.58077	0.606836	0	2.354537	0.9154746	0.08452538	3.744491
1510	-53.2508	-46.4765	-6.77425	0.146723	0.853277	0.01987789	2.91603	1.37427	0.384791	0	1.305356	0.8532774	0.1467226	10.93488
1520	-59.7336	-49.721	-10.0127	0.892385	0.107615	0.01614324	2.85774	1.62839	0.354828	0	2.86539	0.1076152	0.8923848	10.76934
1530	-53.6287	-49.177	-4.45171	0.79801	0.20199	0.008593576	2.68346	1.53634	0.567236	0	0.763803	0.2019896	0.7980104	2.387177
1540	-54.3365	-47.8479	-6.4886	0.392736	0.607264	0.01860705	2.74984	1.50896	0.632873	0	0.9747053	0.6072637	0.3927363	14.66049
1550	-51.8197	-45.9457	-5.87401	0.751012	0.248988	0.01842735	3.46358	1.43564	0.57963	0	0.5553861	0.2489883	0.7510117	9.243117
1560	-53.7903	-48.5859	-5.20439	0.0877053	0.912295	0.02251372	3.58304	1.5931	0.670825	0	0.643606	0.9122947	0.08770526	5.136947
1570	-52.2679	-47.1858	-5.08211	0.298015	0.701985	0.01158109	3.06001	1.58045	0.67596	0	0.661755	0.701985	0.298015	4.571907
1580	-51.2067	-46.2718	-4.9349	0.283843	0.716157	0.01401043	3.11646	1.61707	0.686147	0	0.6302817	0.7161571	0.2838429	3.898501
1590	-53.8951	-48.8484	-5.04665	0.872312	0.127688	0.02127531	3.50743	1.68589	0.5775	0	0.7741449	0.1276884	0.8723116	4.301709
1600	-53.35	-46.4911	-6.85889	0.0631775	0.936823	0.02373759	3.58944	1.39401	0.520272	0	1.083949	0.9368225	0.06317746	17.89322
1610	-53.9277	-46.5092	-7.41847	0.890465	0.109535	0.03271621	3.49488	1.58976	0.411524	0	0.4142274	0.1095354	0.8904646	28.40031
1620	-56.0435	-49.6626	-6.38083	0.319352	0.680648	0.03221309	3.18252	1.72028	0.37268	0	0.8261975	0.6806482	0.3193518	15.70139
1630	-52.5266	-46.3228	-6.20377	0.696657	0.303343	0.01766233	3.29639	1.54444	0.420543	0	1.114896	0.3033427	0.6966573	8.814557
1640	-52.175	-46.8613	-5.31374	0.861746	0.138254	0.01578923	3.3857	1.72625	0.412151	0	0.7173108	0.1382544	0.8617456	5.759051
1650	-54.0585	-46.6301	-7.42849	0.530962	0.469038	0.02176457	2.22941	1.66037	0.434898	0	1.50645	0.4690383	0.5309617	13.9782
1660	-53.1215	-46.5446	-6.57692	0.329136	0.670864	0.01731571	2.22894	1.73786	0.343767	0	1.422874	0.6708636	0.3291364	7.089242
1670	-54.9385	-47.3057	-7.63279	0.0961992	0.903801	0.01294899	3.4696	1.72365	0.350507	0	2.155116	0.9038008	0.09619923	4.31153
1680	-54.251	-46.9434	-7.30765	0.871603	0.128397	0.01503924	3.00803	1.59738	0.395587	0	1.823807	0.1283971	0.8716029	6.318438
1690	-53.0444	-48.7873	-4.2571	0.379157	0.620843	0.00938084	2.92163	1.53647	0.46922	0	0.7661785	0.6208428	0.3791572	1.962419
1700	-51.6553	-45.6534	-6.00191	0.469778	0.530222	0.01782812	2.82571	1.75783	0.598028	0	1.039455	0.5302224	0.4697776	8.168686
1710	-52.6589	-46.5416	-6.11726	0.132427	0.867573	0.01892417	3.35036	1.75115	0.6424	0	0.7236178	0.8675732	0.1324268	12.84097
1720	-51.9046	-45.7254	-6.17919	0.647586	0.352414	0.02182048	3.26986	1.6176	0.468582	0	0.7785196	0.3524145	0.6475855	13.31392
1730	-52.6253	-46.4297	-6.19562	0.388172	0.611828	0.02036145	2.4002	1.66211	0.302067	0	0.9636585	0.6118278	0.3881722	11.11005
1740	-51.9458	-45.9778	-5.96793	0.600512	0.399488	0.01853518	2.86873	1.62529	0.434016	0	0.9878885	0.3994875	0.6005125	8.545078
1750	-51.3494	-45.6292	-5.72014	0.114646	0.885354	0.01766311	2.64468	1.77927	0.625795	0	0.8103571	0.8853539	0.1146461	8.219959
1760	-52.2812	-46.2362	-6.04495	0.537626	0.462374	0.02165411	3.05096	1.73232	0.699057	0	1.131445	0.4623743	0.5376257	7.305659
