Iteration	Posterior	Likelihood	Prior	div[1]	div[2]	div[3]	div[4]	div[5]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	psi[1]	psi[2]	psi[3]	psi[4]	psi[5]	turnover[1]	turnover[2]	turnover[3]	turnover[4]	turnover[5]
27900	-221.779	0	-221.779	-0.307009	0.00167927	-0.0265898	0.032302	0.0214811	1.94626	0.230547	1.16226	0.0646444	0.0751848	2.25327	0.228867	1.18885	0.0323424	0.0537036	2.78818	0.143439	1.21146	0.00526957	0.00644395	1.15774	0.992716	1.02288	0.500313	0.714289
28000	-196.697	0	-196.697	-0.115868	0.0186693	0.256777	0.132642	-0.138161	2.01139	0.274104	1.47631	0.213606	0.0724919	2.12726	0.255435	1.21954	0.0809638	0.210653	2.7376	0.125896	1.53722	0.00321714	0.0213597	1.05761	0.93189	0.826069	0.379033	2.90589
28100	-189.685	0	-189.685	-0.152616	0.0297833	0.184304	0.0125008	0.0259163	1.83856	0.251215	1.2514	0.12125	0.0333128	1.99118	0.221431	1.0671	0.108749	0.00739642	3.04686	0.14444	1.21203	0.0170232	0.00425749	1.08301	0.881443	0.852722	0.896901	0.22203
28200	-189.085	0	-189.085	-0.475694	0.0120576	0.0717566	0.207008	0.0548204	1.81464	0.253869	1.51772	0.324605	0.14119	2.29034	0.241811	1.44596	0.117596	0.0863699	3.45447	0.138793	2.34664	0.0299403	0.0287613	1.26214	0.952505	0.952721	0.362275	0.611727
28300	-203.242	0	-203.242	-0.111863	-0.0266189	0.043812	0.0192584	0.0959336	1.79517	0.286474	1.50285	0.0815742	0.172462	1.90703	0.313093	1.45904	0.0623158	0.076528	2.6441	0.0763086	1.6361	0.102919	0.141121	1.06231	1.09292	0.970847	0.763915	0.443739
28400	-226.677	0	-226.677	0.0573733	-0.00394792	-0.102325	0.0837872	-0.000678557	1.82697	0.24813	1.34964	0.132945	0.000374893	1.76959	0.252078	1.45196	0.0491581	0.00105345	1.78746	0.112181	1.40667	0.260862	0.398554	0.968596	1.01591	1.07582	0.369762	2.81
28500	-210.034	0	-210.034	0.597693	0.0173077	-0.00259813	0.103433	-0.00164131	2.52383	0.281305	1.07055	0.437162	0.00189283	1.92614	0.263997	1.07315	0.333729	0.00353414	2.92336	0.0775791	1.51703	0.0979955	0.012901	0.76318	0.938473	1.00243	0.763398	1.86712
28600	-207.36	0	-207.36	-0.440263	0.0574672	-0.566278	0.0633588	-0.0509197	1.78166	0.295869	1.01319	0.0800607	0.0012836	2.22192	0.238402	1.57947	0.0167019	0.0522033	2.97189	0.152232	1.38759	0.00585322	0.0152083	1.24711	0.805768	1.55891	0.208616	40.6695
28700	-239.129	0	-239.129	-0.422332	0.00902975	-0.226242	0.248478	-0.0820179	1.70772	0.27493	0.965254	0.314299	0.0161062	2.13005	0.265901	1.1915	0.0658216	0.098124	2.54444	0.098582	1.16609	0.0260389	0.0351719	1.24731	0.967156	1.23439	0.209423	6.09233
28800	-231.326	0	-231.326	0.620637	0.0418719	0.323927	0.143063	-0.0887883	2.6754	0.277242	1.08777	0.235245	0.0613146	2.05476	0.23537	0.763846	0.0921821	0.150103	2.92711	0.105535	1.0887	0.0179859	0.0640192	0.768021	0.84897	0.702211	0.391856	2.44808
28900	-227.581	0	-227.581	0.266236	-0.0228778	-0.147717	0.447721	0.00682622	1.82489	0.208937	1.34863	0.497238	0.0886809	1.55865	0.231814	1.49635	0.0495177	0.0818547	2.49897	0.112519	1.477	0.0953859	0.0127357	0.854108	1.1095	1.10953	0.0995855	0.923025
29000	-175.837	0	-175.837	-0.654969	-0.0238739	0.374444	0.0351494	-0.0712033	1.9783	0.289469	1.57416	0.190753	0.0113224	2.63327	0.313343	1.19972	0.155604	0.0825257	2.48852	0.146796	1.5416	0.0709636	0.005463	1.33108	1.08247	0.762131	0.815733	7.28873
29100	-182.818	0	-182.818	-0.205358	0.018176	0.0297157	0.0176	0.0220583	1.95208	0.27225	1.08539	0.0878985	0.0392572	2.15744	0.254074	1.05567	0.0702985	0.0171989	2.7971	0.140074	1.8177	0.00660245	0.0310373	1.1052	0.933238	0.972622	0.799769	0.438108
29200	-214.727	0	-214.727	-0.0231738	0.066941	-0.137766	0.0333151	0.188244	1.68146	0.276294	1.26854	0.0801222	0.229074	1.70463	0.209353	1.4063	0.0468072	0.0408301	3.10587	0.118854	1.4644	0.0172626	0.0385556	1.01378	0.757718	1.1086	0.584197	0.17824
29300	-218.315	0	-218.315	-0.285259	-0.0243254	0.292377	0.0629829	-0.0243967	1.64043	0.222974	1.36339	0.0741523	0.0151574	1.92569	0.2473	1.07101	0.0111694	0.0395542	3.13836	0.100739	1.6415	0.129445	0.0731836	1.17389	1.1091	0.785552	0.150628	2.60955
