Iteration	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	mu[1]	mu[2]	mu[3]	mu[4]	pi[1]	pi[2]	pi[3]	pi[4]	psi[1]	psi[2]	psi[3]	psi[4]	q_hidden[1]	q_hidden[2]	q_obs[1]	q_obs[2]
66000	-528.473	-533.426	4.953041	0.158207	0.116498	-0.498511	-0.221161	1.56265	1.51941	0.00182921	2.3864e-05	1.40444	1.40291	0.50034	0.221185	0.342511	0.454974	0.0680292	0.134486	0.00782133	0.0026103	0.0734794	0.035995	0.167426	0.00795325	0.00361539	0.0194326
67000	-541.5152	-533.3617	-8.153502	0.209923	0.37438	-0.864519	-0.23191	0.553259	0.973675	0.000323087	0.209732	0.343336	0.599295	0.864843	0.441642	0.330524	0.0574724	0.51993	0.0920727	0.000281454	0.0020967	0.135173	0.0328047	0.276007	0.000459531	0.00808989	0.0274076
68000	-534.1571	-542.313	8.155853	0.117363	0.167729	-71.414	-0.26639	0.817113	1.11208	0.00256418	2.40921e-06	0.69975	0.944354	71.4165	0.266393	0.191939	0.517705	0.0330577	0.257298	0.0294592	0.0066718	0.0398619	0.0349364	0.088293	0.0123405	0.0188532	0.0180429
69000	-541.4216	-540.9729	-0.4486418	0.00371527	0.123819	-0.427457	-0.234291	1.0129	0.749485	0.0266946	0.00718296	1.00919	0.625666	0.454151	0.241474	0.0669355	0.481215	0.401841	0.0500081	0.0178354	0.00958612	0.129658	0.0785341	0.100003	0.0453197	0.00682047	0.0281828
70000	-545.835	-542.5288	-3.306201	0.0818282	0.0730189	-38.0001	-0.269663	0.942901	1.40454	3.8546	0.00578233	0.861073	1.33152	41.8547	0.275446	0.0215763	0.72672	0.189046	0.0626568	0.0213584	0.0117735	0.0373515	0.021028	0.0576661	0.00213924	0.00865042	0.0128583
71000	-532.6872	-536.354	3.666768	0.145039	0.0999829	-0.870914	-0.207341	1.14208	1.2108	0.00308089	0.00375839	0.99704	1.11082	0.873995	0.2111	0.0219403	0.57737	0.0955974	0.305093	0.0144335	0.0046695	0.127902	0.0501628	0.102333	0.0236254	0.00510757	0.0096014
72000	-538.2728	-535.643	-2.629745	0.122235	0.145605	-0.262042	-0.464302	2.3414	1.20715	0.0633074	0.0515658	2.21916	1.06154	0.325349	0.515868	0.267368	0.457637	0.0515679	0.223428	0.00928411	0.0043711	0.0659848	0.0701966	0.107221	0.000863957	0.00554583	0.0201854
73000	-536.662	-537.2537	0.5916697	0.113453	0.167799	-0.31752	-0.277803	0.515008	1.55403	0.142441	0.00146886	0.401555	1.38623	0.459961	0.279271	0.55993	0.0523208	0.383982	0.00376707	0.0134743	0.00585115	0.0940619	0.0349314	0.151717	0.00092972	0.00636689	0.0103134
74000	-536.9774	-543.5608	6.583462	0.0708199	0.0361092	-0.333419	-0.130414	0.878013	1.14551	0.0980385	0.000237918	0.807194	1.1094	0.431458	0.130652	0.359037	0.477453	0.0579246	0.105586	0.0252543	0.012192	0.037802	0.0589643	0.0498184	0.0349197	0.00833602	0.0251196
75000	-542.3489	-542.0618	-0.2871213	0.11337	0.0862376	-5.48705	-0.450046	1.04405	1.60697	0.615821	9.27274e-06	0.93068	1.52073	6.10287	0.450055	0.60119	0.0761787	0.0581376	0.264493	0.0222183	0.00373272	0.33863	0.0676805	0.0911505	0.00758702	0.0273332	0.0195058
76000	-525.4672	-541.1957	15.72842	0.0584994	0.104627	-1.9098	-0.230108	0.698565	1.5686	7.42357e-06	1.70016e-05	0.640066	1.46397	1.90981	0.230125	0.115398	0.0342762	0.0266949	0.82363	0.0117706	0.004277	0.272228	0.0327578	0.086325	0.0123399	0.00829977	0.00929155
77000	-530.6733	-543.6818	13.0085	-0.0144129	0.0527614	-12.5428	-0.239686	0.624259	3.90485	0.000581716	2.37773e-06	0.638672	3.85209	12.5434	0.239688	0.0689389	0.585593	0.020232	0.325236	0.0418488	0.00290422	0.0137864	0.021708	0.0497347	0.0166774	0.0100168	0.00924017
78000	-535.1949	-538.7258	3.53093	0.157997	0.0990404	-0.24831	-0.177202	1.43607	2.85991	0.889425	4.83966e-06	1.27807	2.76087	1.13773	0.177207	0.435824	0.043633	0.409702	0.110841	0.00700079	0.00149629	0.0382675	0.0285987	0.107941	0.00440302	0.00823857	0.0115578
79000	-537.1489	-540.5854	3.436438	0.0438001	0.0615802	-0.549395	-0.235403	1.32595	1.618	1.81509e-05	0.0744681	1.28215	1.55642	0.549413	0.309871	0.0679031	0.157948	0.26365	0.510498	0.0126775	0.00203602	0.0670995	0.0423053	0.070098	0.0582044	0.0286643	0.00915461
80000	-543.5833	-543.3931	-0.1901455	0.010888	0.0802196	-75.7909	-0.193051	1.22178	3.52357	0.00451812	0.00384575	1.21089	3.44335	75.7954	0.196897	0.123337	0.19087	0.269981	0.415812	0.0155505	0.00205068	0.0419643	0.0539824	0.0618837	0.0107605	0.00491202	0.0208011
81000	-536.4363	-541.127	4.690719	0.0228522	-0.00796428	-0.768225	-0.14871	1.04006	4.35402	0.000149798	0.122253	1.01721	4.36198	0.768375	0.270963	0.0703468	0.235082	0.156448	0.538122	0.0239684	0.00108088	0.107866	0.0305471	0.0359619	0.0283988	0.0119098	0.00757935
82000	-544.5488	-542.9532	-1.595552	0.0745481	0.0518557	-2.13198	-0.236913	0.987678	2.1554	0.761797	0.0481012	0.913129	2.10355	2.89378	0.285014	0.269044	0.107722	0.344545	0.278689	0.0285036	0.00375981	0.212454	0.0457898	0.0362662	0.0037916	0.0124128	0.00679041
83000	-537.2021	-553.3284	16.12626	0.018397	0.0210729	-13.0104	-0.243889	0.892203	0.540956	2.11141e-06	0.00246279	0.873806	0.519883	13.0104	0.246352	0.353942	0.0547934	0.457928	0.133337	0.0265516	0.0272054	0.0910683	0.108789	0.0123658	0.00897788	0.0174294	0.0176418
