Iteration	Replicate_ID	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]
170	0	-1574.615	-1567.978	-6.636336	0.23463	0.234875	0.235019	0.23517	0.235154	0.252664	0.252206	0.252294	0.25169	0.250779
171	1	-1572.214	-1566.758	-5.456583	0.258082	0.175437	0.133241	0.132813	0.0857109	0.106008	0.102564	0.124283	0.119728	0.120859
172	0	-1567.509	-1564.926	-2.582266	0.205162	0.203813	0.214517	0.214558	0.214054	0.214627	0.210029	0.209643	0.209958	0.224063
173	1	-1591.456	-1568.586	-22.87041	0.211703	0.200129	0.194204	0.150404	0.106018	0.0958303	0.0638963	0.0733415	0.0650246	0.0844031
174	0	-1578.893	-1564.469	-14.42429	0.214691	0.215071	0.215291	0.218126	0.218393	0.182317	0.182112	0.183675	0.185404	0.183808
175	1	-1534.857	-1567.258	32.40057	0.224847	0.222417	0.12173	0.12174	0.117829	0.117702	0.11725	0.117291	0.117352	0.105705
176	0	-1579.9	-1564.857	-15.04286	0.201512	0.201213	0.201115	0.205635	0.204436	0.200119	0.197475	0.197468	0.193683	0.193692
177	1	-1553.237	-1569.084	15.84751	0.286316	0.282691	0.282123	0.276786	0.249068	0.252067	0.25751	0.255479	0.194154	0.201608
178	0	-1605.776	-1570.861	-34.91495	0.182172	0.16587	0.157342	0.135425	0.13559	0.149445	0.144844	0.191998	0.182481	0.18186
179	1	-1543.457	-1568.796	25.33925	0.301822	0.287083	0.288338	0.252429	0.174248	0.206795	0.207646	0.186963	0.17761	0.178727
180	0	-1620.769	-1564.796	-55.97277	0.215866	0.21302	0.277317	0.340384	0.195058	0.200827	0.151902	0.153736	0.155256	0.170311
181	1	-1543.671	-1568.256	24.5847	0.306917	0.303208	0.291243	0.297796	0.242067	0.249833	0.249195	0.280549	0.28786	0.289218
182	0	-1609.775	-1565.568	-44.20722	0.195363	0.194833	0.196998	0.19691	0.203238	0.203186	0.182772	0.159303	0.0633795	0.138492
183	1	-1593.067	-1566.797	-26.27024	0.254785	0.220029	0.185059	0.156839	0.163416	0.159458	0.15984	0.161672	0.167804	0.136807
