Iteration	Replicate_ID	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
125	1	-1564.181	-1570.198	6.017212	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
126	0	-1555.237	-1568.83	13.5935	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
127	1	-1558.336	-1566.914	8.577686	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
128	0	-1572.697	-1569.845	-2.85184	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
129	1	-1562.081	-1569.556	7.474783	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
130	0	-1562.551	-1567.717	5.166109	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
131	1	-1584.447	-1566.184	-18.2629	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
132	0	-1589.647	-1571.043	-18.60489	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
133	1	-1573.507	-1566.694	-6.812927	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
134	0	-1616.91	-1567.464	-49.4459	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
135	1	-1575.643	-1565.245	-10.39755	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
136	0	-1594.059	-1566.779	-27.28033	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
137	1	-1578.909	-1569.03	-9.878302	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
138	0	-1590.032	-1569.7	-20.33242	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
139	1	-1566.388	-1569.461	3.073595	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
140	0	-1585.889	-1569.393	-16.49632	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
141	1	-1579.638	-1570.128	-9.509999	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
142	0	-1559.809	-1565.625	5.815374	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
143	1	-1570.196	-1569.28	-0.9159419	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
144	0	-1575.475	-1567.128	-8.346132	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
145	1	-1589.842	-1567.926	-21.91579	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
146	0	-1584.992	-1569.197	-15.79447	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
147	1	-1587.837	-1567.124	-20.71301	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
148	0	-1570.103	-1568.258	-1.84473	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
149	1	-1571.895	-1567.724	-4.171185	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
150	0	-1538.176	-1568.98	30.80412	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
151	1	-1596.97	-1565.784	-31.18627	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
152	0	-1534.395	-1569.694	35.29941	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
153	1	-1596.972	-1566.155	-30.81734	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
154	0	-1544.221	-1570.041	25.82047	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
155	1	-1591.191	-1569.364	-21.82681	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
156	0	-1563.677	-1566.842	3.164913	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
157	1	-1576.247	-1568.428	-7.818949	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
158	0	-1541.833	-1570.12	28.28742	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
159	1	-1579.621	-1570.104	-9.517043	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
160	0	-1552.326	-1567.799	15.47258	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
161	1	-1586.238	-1567.977	-18.26085	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
162	0	-1570.272	-1567.859	-2.412923	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
163	1	-1574.365	-1566.946	-7.418761	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
164	0	-1579.658	-1568.627	-11.03167	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
165	1	-1571.56	-1569.831	-1.729183	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
166	0	-1572.268	-1568.994	-3.274266	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
167	1	-1554.939	-1567.32	12.38131	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
168	0	-1583.847	-1566.771	-17.07657	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
169	1	-1546.631	-1566.459	19.82817	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
170	0	-1574.615	-1567.978	-6.636336	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
171	1	-1572.214	-1566.758	-5.456583	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
172	0	-1567.509	-1564.926	-2.582266	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
173	1	-1591.456	-1568.586	-22.87041	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
174	0	-1578.893	-1564.469	-14.42429	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
175	1	-1534.857	-1567.258	32.40057	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
176	0	-1579.9	-1564.857	-15.04286	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
177	1	-1553.237	-1569.084	15.84751	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
178	0	-1605.776	-1570.861	-34.91495	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
179	1	-1543.457	-1568.796	25.33925	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
180	0	-1620.769	-1564.796	-55.97277	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
181	1	-1543.671	-1568.256	24.5847	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
182	0	-1609.775	-1565.568	-44.20722	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825
