Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	extirpation_rate	p_allopatry	p_sympatry	rate_bg
1450	-51.7371	-45.8028	-5.93431	0.258281	0.741719	0.01909379	3.5244	1.31036	0.590278	0	0.7023272	0.7417191	0.2582809	10.74092
1460	-52.0409	-46.1094	-5.93149	0.663094	0.336906	0.02154539	3.50004	1.602	0.423365	0	0.9097515	0.3369059	0.6630941	9.160628
1470	-52.9977	-46.8392	-6.15857	0.936473	0.0635266	0.02451969	2.9306	1.71844	0.47072	0	1.004394	0.06352662	0.9364734	10.08852
1480	-52.6144	-45.7882	-6.82626	0.729992	0.270008	0.02554776	3.55272	1.33153	0.495107	0	0.4213733	0.2700084	0.7299916	16.25249
1490	-53.7437	-46.352	-7.39163	0.127125	0.872875	0.0307331	3.24827	1.31272	0.343915	0	0.4418731	0.872875	0.127125	31.25147
1500	-51.9732	-45.9679	-6.00538	0.0122711	0.987729	0.0230789	2.77034	1.5702	0.533169	0	0.6703744	0.9877289	0.01227108	11.52853
1510	-53.806	-46.3458	-7.46018	0.523196	0.476804	0.03276047	2.71138	1.71716	0.592393	0	0.4992227	0.4768036	0.5231964	40.3038
1520	-52.0009	-45.6811	-6.31972	0.735134	0.264866	0.02259552	2.37299	1.67919	0.553301	0	0.7939244	0.2648659	0.7351341	15.16214
1530	-53.8025	-46.7858	-7.01675	0.122237	0.877763	0.02283342	3.51278	1.6147	0.383302	0	1.212717	0.8777628	0.1222372	16.65159
1540	-54.3232	-46.9921	-7.33113	0.480091	0.519909	0.02807707	3.33525	1.58071	0.322625	0	1.178069	0.5199085	0.4800915	24.31369
1550	-52.7679	-46.0971	-6.67078	0.244787	0.755213	0.02722834	3.4116	1.69756	0.323677	0	0.5707846	0.7552126	0.2447874	20.957
1560	-53.2434	-46.3195	-6.92389	0.643863	0.356137	0.03105437	2.75207	1.72161	0.395314	0	0.7282252	0.3561374	0.6438626	28.72851
1570	-52.6621	-45.9572	-6.70487	0.0590777	0.940922	0.02271598	2.23524	1.32703	0.659421	0	0.4578974	0.9409223	0.05907766	16.70504
1580	-52.2773	-46.0735	-6.2038	0.0988714	0.901129	0.01695683	2.76136	1.35402	0.539635	0	1.245011	0.9011286	0.09887137	6.94815
1590	-53.381	-47.3287	-6.05229	0.111182	0.888818	0.01656078	2.54962	1.46447	0.655253	0	0.5721505	0.888818	0.111182	11.31068
1600	-52.5055	-46.0328	-6.47264	0.100143	0.899857	0.02345921	2.74003	1.54342	0.695952	0	1.027696	0.8998566	0.1001434	13.32455
1610	-53.4272	-45.8183	-7.60888	0.105485	0.894515	0.0276857	2.38477	1.5308	0.584179	0	0.3416011	0.8945146	0.1054854	21.58624
1620	-52.661	-47.3378	-5.32321	0.616947	0.383053	0.0131644	2.97955	1.53243	0.530759	0	0.5996469	0.3830528	0.6169472	5.621994
1630	-53.6181	-46.5338	-7.08426	0.653779	0.346221	0.02013633	3.06421	1.4819	0.43897	0	1.603522	0.3462207	0.6537793	8.080418
1640	-51.4145	-46.3322	-5.08226	0.447291	0.552709	0.01601906	3.09673	1.347	0.62634	0	0.8193686	0.5527093	0.4472907	4.310946
1650	-51.5266	-46.3064	-5.22014	0.0462574	0.953743	0.01644548	3.52991	1.70466	0.659282	0	0.9336428	0.9537426	0.04625739	4.362945
1660	-53.5366	-46.4614	-7.07519	0.16018	0.83982	0.02548315	3.26341	1.62173	0.49016	0	1.277921	0.8398201	0.1601799	15.58797
1670	-51.4688	-45.8059	-5.66295	0.814887	0.185113	0.01721433	2.99446	1.715	0.671757	0	0.7935891	0.1851133	0.8148867	7.863874
1680	-53.7859	-47.4266	-6.35929	0.177879	0.822121	0.01594577	2.22978	1.67281	0.536004	0	1.657958	0.8221212	0.1778788	3.48727
1690	-52.0718	-46.1177	-5.95416	0.329893	0.670107	0.01728655	2.87762	1.62442	0.543863	0	0.4593325	0.670107	0.329893	7.925327
1700	-53.1889	-45.9845	-7.20439	0.107664	0.892336	0.02986667	2.33887	1.59268	0.363425	0	0.4926614	0.8923356	0.1076644	30.67327
1710	-56.2297	-48.0562	-8.17348	0.432687	0.567313	0.03168009	2.59526	1.47138	0.513343	0	1.512981	0.567313	0.432687	29.04578
1720	-52.0093	-45.9318	-6.07751	0.414969	0.585031	0.01829634	2.34585	1.62733	0.641919	0	0.9473577	0.5850307	0.4149693	10.09678
1730	-51.5932	-45.3339	-6.25934	0.619248	0.380752	0.02346105	3.13824	1.76403	0.552882	0	0.5727465	0.380752	0.619248	13.92317
1740	-53.6798	-46.8427	-6.83712	0.725935	0.274065	0.02423	2.43496	1.49922	0.383186	0	0.5884396	0.2740654	0.7259346	25.26917
1750	-53.0265	-46.7855	-6.24106	0.923521	0.0764785	0.02175953	2.64008	1.69777	0.563984	0	1.236033	0.07647851	0.9235215	7.336248
1760	-51.8854	-45.7111	-6.17431	0.679615	0.320385	0.0229217	2.80335	1.62878	0.498466	0	0.5273124	0.3203852	0.6796148	11.87679
